# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts_new5.txt" "-T" "8" "bam/SRR20281612.sorted.bam" "bam/SRR20281613.sorted.bam" "bam/SRR20650029.sorted.bam" "bam/SRR20650030.sorted.bam" "bam/SRR20650031.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281612.sorted.bam	bam/SRR20281613.sorted.bam	bam/SRR20650029.sorted.bam	bam/SRR20650030.sorted.bam	bam/SRR20650031.sorted.bam
MA_RS04145	NC_003552.1	925595	926740	-	1146	7509	6222	158	104	86
MA_RS04150	NC_003552.1	926962	927891	+	930	1198	949	264	190	265
MA_RS04155	NC_003552.1	928093	928416	-	324	81	124	0	0	6
MA_RS04160	NC_003552.1	928544	929260	-	717	139	138	1	8	16
MA_RS04165	NC_003552.1	929235	930365	-	1131	201	179	69	66	43
MA_RS04170	NC_003552.1	930341	931303	-	963	225	156	38	56	33
MA_RS04175	NC_003552.1	933015	933719	-	705	1002	640	33	38	18
MA_RS04180	NC_003552.1	934184	935077	+	894	2618	1707	227	148	147
MA_RS04185	NC_003552.1	935609	936478	+	870	1132	914	462	359	350
MA_RS26530	NC_003552.1	936687	936863	-	177	35	24	27	14	15
MA_RS04190	NC_003552.1	937013	937708	-	696	98	163	60	49	45
MA_RS04195	NC_003552.1	938155	938292	-	138	264	264	3	21	21
MA_RS04200	NC_003552.1	939161	940330	+	1170	2340	2598	456	236	295
MA_RS04205	NC_003552.1	940430	941194	-	765	557	635	739	373	422
MA_RS04210	NC_003552.1	941247	941909	-	663	291	423	131	107	82
MA_RS04215	NC_003552.1	941966	943120	-	1155	867	726	304	214	196
MA_RS04220	NC_003552.1	943288	943707	-	420	163	148	5	14	9
MA_RS04225	NC_003552.1	943727	943954	-	228	150	108	62	68	61
MA_RS04230	NC_003552.1	944141	944560	-	420	443	426	29	19	8
MA_RS04235	NC_003552.1	944933	945289	+	357	310	349	109	69	68
MA_RS04240	NC_003552.1	945361	947916	-	2556	5745	6116	362	225	237
MA_RS26535	NC_003552.1	948247	948390	-	144	589	348	0	2	12
MA_RS04245	NC_003552.1	948831	950003	-	1173	13881	12408	311	348	279
MA_RS04250	NC_003552.1	950179	951132	-	954	6746	5986	675	632	541
MA_RS29705	NC_003552.1	951171	951449	-	279	897	694	506	405	389
MA_RS29710	NC_003552.1	951477	951902	-	426	4653	4431	1257	532	618
MA_RS04260	NC_003552.1	951923	952180	-	258	5899	4946	67	76	32
MA_RS04265	NC_003552.1	953060	953983	-	924	452	410	110	62	82
MA_RS04270	NC_003552.1	954420	955169	+	750	1616	1528	788	606	566
MA_RS04275	NC_003552.1	955395	956135	+	741	9044	7953	1633	1195	1149
MA_RS04285	NC_003552.1	956440	957198	+	759	7120	6105	1224	879	892
MA_RS04290	NC_003552.1	957309	958709	-	1401	3877	4393	685	398	513
MA_RS04295	NC_003552.1	958702	959244	-	543	991	855	121	110	58
MA_RS04300	NC_003552.1	959728	960123	-	396	5129	4993	55	26	29
MA_RS04305	NC_003552.1	961569	963212	-	1644	2495	2515	367	199	276
MA_RS04310	NC_003552.1	963729	964304	-	576	1114	926	129	81	90
MA_RS04320	NC_003552.1	965341	967356	+	2016	1187492	1233762	273820	182560	196355
MA_RS04325	NC_003552.1	967529	968110	+	582	11835	8785	3853	1952	2418
MA_RS04330	NC_003552.1	968396	969211	+	816	777	771	50	50	57
MA_RS04335	NC_003552.1	969749	970507	-	759	383	302	45	19	56
MA_RS04340	NC_003552.1	970508	972226	-	1719	669	695	936	396	553
MA_RS04345	NC_003552.1	972228	973532	-	1305	394	415	761	308	428
MA_RS04350	NC_003552.1	973610	973993	-	384	117	99	15	8	7
MA_RS04355	NC_003552.1	974836	974945	+	110	404	261	21	43	43
MA_RS04365	NC_003552.1	975948	976697	-	750	183	174	6	20	8
MA_RS04370	NC_003552.1	976685	977515	-	831	220	213	29	23	42
MA_RS04380	NC_003552.1	979079	980770	+	1692	14437	11349	3827	2279	2453
MA_RS04385	NC_003552.1	980748	981608	+	861	13922	11927	2765	1604	1845
MA_RS04390	NC_003552.1	981636	982619	+	984	13891	14432	4534	2526	3264
MA_RS04395	NC_003552.1	982633	983571	+	939	9319	6878	1961	1071	1355
MA_RS04400	NC_003552.1	983574	985295	+	1722	11479	10734	2983	1561	1958
MA_RS04405	NC_003552.1	985457	986449	+	993	1655	1484	249	170	227
MA_RS04410	NC_003552.1	986446	987210	+	765	1142	692	172	83	114
MA_RS04415	NC_003552.1	987383	988459	+	1077	2687	2733	1062	675	669
MA_RS04420	NC_003552.1	988690	989232	-	543	548	608	518	294	301
MA_RS04425	NC_003552.1	989192	990883	-	1692	1617	1866	13673	8581	9319
MA_RS28380	NC_003552.1	991446	998273	-	6828	12771	16101	4560	2025	2988
MA_RS29290	NC_003552.1	999281	1006981	-	7701	11811	14838	1715	999	1187
MA_RS04440	NC_003552.1	1007702	1008478	-	777	370	290	28	28	19
MA_RS04445	NC_003552.1	1008475	1009398	-	924	147	129	8	12	4
MA_RS04450	NC_003552.1	1009640	1010161	+	522	237	165	45	72	48
MA_RS04460	NC_003552.1	1012528	1013631	-	1104	195	233	10	9	1
MA_RS04465	NC_003552.1	1014321	1015928	-	1608	397	512	369	215	304
MA_RS04470	NC_003552.1	1016347	1018281	-	1935	459	688	41	26	32
MA_RS04475	NC_003552.1	1019006	1020910	-	1905	2622	4392	265	137	186
MA_RS04480	NC_003552.1	1021409	1021891	+	483	571	416	98	37	30
MA_RS04485	NC_003552.1	1021908	1022825	+	918	682	512	103	97	92
MA_RS04490	NC_003552.1	1023722	1024522	-	801	698	694	151	110	86
MA_RS04495	NC_003552.1	1024642	1026891	-	2250	4702	5341	1164	618	668
MA_RS28395	NC_003552.1	1026922	1027569	-	648	1030	902	423	253	236
MA_RS04510	NC_003552.1	1028464	1029468	+	1005	5616	5653	2856	1590	1724
MA_RS04515	NC_003552.1	1029796	1030539	-	744	2345	2000	345	149	152
MA_RS04520	NC_003552.1	1030539	1031306	-	768	2224	2603	112	54	82
MA_RS04525	NC_003552.1	1031303	1032196	-	894	3140	2992	381	210	227
MA_RS04530	NC_003552.1	1032222	1034123	-	1902	5067	4599	535	348	273
MA_RS04535	NC_003552.1	1034157	1035734	-	1578	6968	7094	925	357	482
MA_RS04540	NC_003552.1	1035751	1039659	-	3909	31000	37661	1227	564	704
MA_RS04545	NC_003552.1	1039669	1041381	-	1713	7602	8077	488	258	221
MA_RS04550	NC_003552.1	1041386	1042909	-	1524	11339	12247	369	221	296
MA_RS04555	NC_003552.1	1042949	1043542	-	594	5766	6289	70	60	58
MA_RS04560	NC_003552.1	1043905	1045662	+	1758	5636	5734	1194	634	707
MA_RS04565	NC_003552.1	1045683	1047797	+	2115	7593	7942	784	505	557
MA_RS04570	NC_003552.1	1047778	1048803	-	1026	630	601	74	64	82
MA_RS04575	NC_003552.1	1048796	1049737	-	942	375	321	294	154	183
MA_RS04580	NC_003552.1	1049734	1050588	-	855	751	800	622	288	351
MA_RS04590	NC_003552.1	1051642	1051929	-	288	479	550	924	443	548
MA_RS04595	NC_003552.1	1051926	1055828	-	3903	11773	12431	10049	4972	6913
MA_RS04600	NC_003552.1	1055832	1057406	-	1575	3827	4006	1977	957	1044
MA_RS04605	NC_003552.1	1058343	1060475	+	2133	4087	3851	1132	841	700
MA_RS04610	NC_003552.1	1060666	1063473	+	2808	21805	21711	4818	2524	3291
MA_RS04615	NC_003552.1	1063818	1064105	+	288	288	376	0	10	8
MA_RS04620	NC_003552.1	1064522	1065445	+	924	54813	37766	1008	535	722
MA_RS04625	NC_003552.1	1065477	1066367	+	891	23385	15535	528	210	418
MA_RS04630	NC_003552.1	1066370	1067293	+	924	25909	15417	579	249	344
MA_RS04635	NC_003552.1	1067344	1068120	+	777	15440	10654	122	135	86
MA_RS04640	NC_003552.1	1068127	1068777	+	651	9766	5651	246	138	196
MA_RS04645	NC_003552.1	1069061	1070464	+	1404	2358	2259	1324	780	1008
MA_RS04650	NC_003552.1	1070496	1071044	-	549	5285	5367	280	171	217
MA_RS04655	NC_003552.1	1071041	1071829	-	789	3955	4746	557	257	343
MA_RS04660	NC_003552.1	1071831	1072160	-	330	2095	2112	24	13	19
MA_RS04665	NC_003552.1	1073041	1074518	+	1478	3556810	4403262	4388928	5825369	5185002
MA_RS04670	NC_003552.1	1074708	1077611	+	2904	1139465	1166126	8951678	7813905	7710745
MA_RS04675	NC_003552.1	1077685	1077807	+	123	12528	6463	1259	770	1235
MA_RS04680	NC_003552.1	1078142	1079521	-	1380	633	537	249	143	171
MA_RS04685	NC_003552.1	1080109	1080471	-	363	3827	3290	1952	1912	1827
MA_RS04690	NC_003552.1	1080559	1080876	-	318	2950	3981	275	405	250
MA_RS04695	NC_003552.1	1081168	1082313	-	1146	2944	2552	949	734	628
MA_RS04700	NC_003552.1	1082474	1084453	+	1980	3163	2424	1069	660	634
MA_RS25080	NC_003552.1	1084559	1085227	-	669	104	108	13	9	1
MA_RS27875	NC_003552.1	1085224	1085580	-	357	72	66	7	0	4
MA_RS29715	NC_003552.1	1085543	1085632	-	90	1	1	0	0	0
MA_RS04710	NC_003552.1	1085862	1086224	+	363	1603	842	41	33	43
MA_RS04715	NC_003552.1	1086700	1088622	+	1923	1696	1585	628	311	491
MA_RS04720	NC_003552.1	1088846	1089712	+	867	400	282	104	40	55
MA_RS28400	NC_003552.1	1089821	1089967	+	147	160	102	10	6	6
MA_RS04725	NC_003552.1	1090082	1090528	-	447	59	65	17	11	2
MA_RS04730	NC_003552.1	1090553	1090906	-	354	32	24	4	2	8
MA_RS25085	NC_003552.1	1091291	1091437	+	147	7565	2981	34	12	9
MA_RS04735	NC_003552.1	1091615	1092223	+	609	2771	2178	867	519	543
MA_RS04740	NC_003552.1	1092417	1093751	+	1335	2610	2091	1450	922	1081
MA_RS04745	NC_003552.1	1093839	1095143	-	1305	6624	6980	597	428	466
MA_RS04750	NC_003552.1	1095195	1095992	-	798	4369	5353	617	513	541
MA_RS04755	NC_003552.1	1096558	1098690	+	2133	6552	6877	2375	1513	1755
MA_RS29295	NC_003552.1	1098809	1098931	-	123	118	89	16	14	2
MA_RS04760	NC_003552.1	1098963	1099403	-	441	934	748	40	25	33
MA_RS04765	NC_003552.1	1099573	1100187	-	615	11886	12446	573	457	448
MA_RS04770	NC_003552.1	1100355	1100861	-	507	276	284	11	11	4
MA_RS04775	NC_003552.1	1101370	1102056	-	687	4054	7460	60	55	65
MA_RS04780	NC_003552.1	1102308	1102634	-	327	1035	854	124	179	110
MA_RS04785	NC_003552.1	1103181	1103558	+	378	11861	11216	192	190	126
MA_RS04790	NC_003552.1	1103632	1104123	+	492	12593	10625	6438	3459	4143
MA_RS04795	NC_003552.1	1104205	1105386	+	1182	13705	12987	4639	2825	3198
MA_RS04800	NC_003552.1	1105934	1106335	-	402	2432	2041	126	88	71
MA_RS04805	NC_003552.1	1106736	1107419	+	684	1655	1386	379	280	290
MA_RS28045	NC_003552.1	1107509	1107658	-	150	503	424	51	20	38
MA_RS04810	NC_003552.1	1107674	1107970	-	297	5	21	9	7	3
MA_RS04820	NC_003552.1	1109141	1109794	-	654	91	112	36	10	34
MA_RS04845	NC_003552.1	1113305	1113955	-	651	27	23	88	62	126
MA_RS04850	NC_003552.1	1113958	1114155	-	198	4	8	0	5	1
MA_RS04855	NC_003552.1	1114425	1114790	-	366	600	469	206	148	158
MA_RS04860	NC_003552.1	1114909	1115871	-	963	2251	2444	644	331	446
MA_RS04865	NC_003552.1	1115875	1116582	-	708	1225	1422	30	28	27
MA_RS04870	NC_003552.1	1116628	1117239	-	612	874	823	1111	554	745
MA_RS04875	NC_003552.1	1117224	1118060	-	837	1097	984	638	282	386
MA_RS04880	NC_003552.1	1118078	1118620	-	543	1336	977	467	290	286
MA_RS04890	NC_003552.1	1118909	1119868	-	960	1232	1092	2781	1178	1615
MA_RS04895	NC_003552.1	1119865	1121355	-	1491	2185	2245	5278	3343	3853
MA_RS04900	NC_003552.1	1121827	1123068	+	1242	2775	2171	449	331	328
MA_RS04905	NC_003552.1	1123186	1124670	-	1485	460	349	87	67	51
MA_RS28405	NC_003552.1	1125282	1125467	-	186	72	77	21	15	20
MA_RS28410	NC_003552.1	1125466	1125768	+	303	83	116	27	7	13
MA_RS04920	NC_003552.1	1125765	1126397	+	633	25	10	33	28	19
MA_RS04925	NC_003552.1	1126372	1127007	+	636	48	38	12	2	3
MA_RS04930	NC_003552.1	1127122	1128429	+	1308	150	158	34	16	8
MA_RS04935	NC_003552.1	1128668	1129126	+	459	22126	15429	2637	2405	2195
MA_RS04940	NC_003552.1	1129290	1130084	-	795	25812	28452	1940	1068	1523
MA_RS04945	NC_003552.1	1130081	1131151	-	1071	38382	40379	4977	2279	3079
MA_RS04950	NC_003552.1	1131170	1132378	-	1209	59542	67013	8403	5268	6068
MA_RS04955	NC_003552.1	1132843	1133958	-	1116	186	135	45	59	34
MA_RS04960	NC_003552.1	1134014	1135282	-	1269	288	350	54	81	72
MA_RS26555	NC_003552.1	1136335	1136478	+	144	338	343	214	254	151
MA_RS04965	NC_003552.1	1136515	1137348	-	834	1121	1069	149	88	123
MA_RS04970	NC_003552.1	1137547	1137918	-	372	530	462	24	11	20
MA_RS25090	NC_003552.1	1138411	1142001	-	3591	11486	12487	1349	975	932
MA_RS04980	NC_003552.1	1142634	1143449	+	816	3514	3164	959	446	567
MA_RS04985	NC_003552.1	1143764	1144678	+	915	4207	3735	716	447	562
MA_RS24380	NC_003552.1	1145129	1146589	-	1461	2087	2396	791	425	656
MA_RS04995	NC_003552.1	1147403	1148272	+	870	1846	1268	568	315	392
MA_RS05000	NC_003552.1	1148407	1149639	-	1233	1790	2032	312	285	244
MA_RS05005	NC_003552.1	1149985	1150728	-	744	1772	1405	67	51	36
MA_RS05015	NC_003552.1	1151312	1151746	+	435	3947	3713	73	57	66
MA_RS05020	NC_003552.1	1152290	1152682	+	393	675	439	14	10	11
MA_RS28415	NC_003552.1	1153621	1153779	-	159	44	37	1	2	0
MA_RS25095	NC_003552.1	1153854	1154141	-	288	344	252	1	2	4
MA_RS05040	NC_003552.1	1154663	1155616	+	954	2753	2780	398	243	279
MA_RS05045	NC_003552.1	1155621	1156286	+	666	3262	3843	397	261	360
MA_RS24390	NC_003552.1	1157351	1159786	+	2436	4356	4726	517	225	335
MA_RS05055	NC_003552.1	1160210	1160659	-	450	959	713	76	94	62
MA_RS05060	NC_003552.1	1160915	1163110	+	2196	20095	26200	13860	6057	9475
MA_RS05065	NC_003552.1	1163135	1163320	+	186	295	212	63	49	55
MA_RS05070	NC_003552.1	1163445	1164731	+	1287	186	104	53	53	40
MA_RS05075	NC_003552.1	1165169	1165495	+	327	2	2	0	2	0
MA_RS05080	NC_003552.1	1165686	1167062	+	1377	334	414	354	235	340
MA_RS05085	NC_003552.1	1167069	1167548	+	480	37	71	123	46	72
MA_RS05090	NC_003552.1	1167535	1168341	+	807	399	466	151	91	112
MA_RS05095	NC_003552.1	1168352	1169227	+	876	646	649	77	70	113
MA_RS05100	NC_003552.1	1169485	1170885	-	1401	1499	991	232	210	171
MA_RS05105	NC_003552.1	1170887	1172284	-	1398	1015	584	165	115	84
MA_RS05110	NC_003552.1	1172801	1172995	+	195	191	107	1	0	2
MA_RS05115	NC_003552.1	1172985	1173254	+	270	429	332	21	39	7
MA_RS05120	NC_003552.1	1173682	1173885	+	204	87	52	3	3	0
MA_RS05125	NC_003552.1	1173882	1174226	+	345	489	403	32	34	45
MA_RS05130	NC_003552.1	1174406	1174621	-	216	392	160	4	9	6
MA_RS05140	NC_003552.1	1175397	1176548	+	1152	112	87	23	31	17
MA_RS29625	NC_003552.1	1177303	1177491	-	189	885	539	8	12	11
MA_RS05145	NC_003552.1	1178389	1179108	+	720	936	891	16	22	10
MA_RS27880	NC_003552.1	1179199	1179429	-	231	89	69	9	2	9
MA_RS28420	NC_003552.1	1179481	1179624	-	144	59	22	1	5	7
MA_RS05155	NC_003552.1	1179874	1180614	+	741	150	62	8	0	14
MA_RS05160	NC_003552.1	1180735	1181283	-	549	193	110	28	16	6
MA_RS05165	NC_003552.1	1181616	1182470	+	855	457	356	85	56	45
MA_RS05170	NC_003552.1	1182614	1183333	-	720	197	144	17	6	12
MA_RS05175	NC_003552.1	1183746	1184234	-	489	66	41	14	28	29
MA_RS28425	NC_003552.1	1184348	1184641	-	294	651	416	30	42	14
MA_RS28430	NC_003552.1	1184610	1184843	-	234	31	26	2	0	0
MA_RS05185	NC_003552.1	1184875	1185696	-	822	222	351	130	93	108
MA_RS05190	NC_003552.1	1186239	1186691	-	453	690	789	42	30	41
MA_RS05195	NC_003552.1	1187129	1187881	+	753	473	308	33	23	23
MA_RS05200	NC_003552.1	1188064	1188804	+	741	228	195	33	14	6
MA_RS28435	NC_003552.1	1189519	1190037	+	519	357	357	200	108	129
MA_RS05210	NC_003552.1	1190771	1191658	+	888	533	502	44	33	16
MA_RS24395	NC_003552.1	1191973	1192548	+	576	378	332	16	8	12
MA_RS05225	NC_003552.1	1193195	1194679	-	1485	849	1014	100	52	100
MA_RS05230	NC_003552.1	1194714	1195106	-	393	158	178	33	26	9
MA_RS05240	NC_003552.1	1195554	1196654	-	1101	1326	1565	210	122	135
MA_RS05250	NC_003552.1	1197325	1198131	-	807	402	326	29	51	42
MA_RS05255	NC_003552.1	1199625	1200038	+	414	211	477	35	24	20
MA_RS05260	NC_003552.1	1200259	1201575	+	1317	1131	2878	630	318	355
MA_RS05265	NC_003552.1	1201578	1202621	+	1044	643	1236	281	172	133
MA_RS05270	NC_003552.1	1202909	1204156	+	1248	604	644	263	195	202
MA_RS05275	NC_003552.1	1204352	1205464	-	1113	867	799	110	83	98
MA_RS05285	NC_003552.1	1206107	1207513	-	1407	195182	208459	1484	924	1128
MA_RS05290	NC_003552.1	1207517	1208827	-	1311	120044	140703	591	320	404
MA_RS05295	NC_003552.1	1209064	1209825	-	762	38031	45436	1002	604	695
MA_RS05300	NC_003552.1	1209881	1211290	-	1410	173258	184880	1165	564	790
MA_RS05305	NC_003552.1	1211315	1211827	-	513	56537	64719	607	258	346
MA_RS05310	NC_003552.1	1211830	1214250	-	2421	500113	644131	3710	1345	2169
MA_RS29720	NC_003552.1	1217171	1217683	+	513	3888	3284	75	82	38
MA_RS05325	NC_003552.1	1217952	1218959	-	1008	1756	1553	336	234	270
MA_RS05330	NC_003552.1	1219252	1220592	-	1341	304	223	34	58	52
MA_RS05335	NC_003552.1	1221136	1222293	-	1158	3223	3851	241	133	237
MA_RS05340	NC_003552.1	1222800	1223591	+	792	3088	2564	22	43	12
MA_RS05345	NC_003552.1	1223996	1225798	+	1803	5004	5505	1079	529	624
MA_RS05350	NC_003552.1	1225795	1226397	+	603	2237	2331	644	420	440
MA_RS05360	NC_003552.1	1228492	1228737	+	246	1878	1746	159	162	130
MA_RS05365	NC_003552.1	1228753	1230231	+	1479	4216	4680	626	387	476
MA_RS05370	NC_003552.1	1230212	1231228	+	1017	1873	2296	328	212	203
MA_RS05375	NC_003552.1	1231307	1232299	+	993	2669	3134	160	104	114
MA_RS05380	NC_003552.1	1232572	1233705	+	1134	5533	5407	1013	659	767
MA_RS05385	NC_003552.1	1233847	1234371	+	525	1885	1460	101	98	92
MA_RS05390	NC_003552.1	1234712	1235254	-	543	3946	2513	723	788	574
MA_RS05395	NC_003552.1	1235803	1236717	+	915	279	301	6	8	2
MA_RS05410	NC_003552.1	1238301	1239587	+	1287	123	53	16	22	20
MA_RS25120	NC_003552.1	1240110	1241205	+	1096	267	218	20	16	10
MA_RS05430	NC_003552.1	1241710	1243245	-	1536	1716	1430	74	73	36
MA_RS05435	NC_003552.1	1244822	1246078	+	1257	197	158	27	14	6
MA_RS29730	NC_003552.1	1246528	1246887	+	360	71	72	4	11	14
MA_RS05440	NC_003552.1	1246905	1248389	-	1485	366	211	50	47	38
MA_RS29735	NC_003552.1	1248532	1248780	+	249	93	48	3	17	4
MA_RS05470	NC_003552.1	1252113	1252886	-	774	110	135	5	20	13
MA_RS05485	NC_003552.1	1255168	1256727	+	1560	2908	1346	128	178	108
MA_RS05490	NC_003552.1	1256865	1259009	+	2145	1040	405	58	90	29
MA_RS05495	NC_003552.1	1259356	1260984	-	1629	724	617	172	123	109
MA_RS05505	NC_003552.1	1261729	1262973	+	1245	710	399	12	23	12
MA_RS05520	NC_003552.1	1264681	1267617	-	2937	1477	1536	179	115	129
MA_RS05525	NC_003552.1	1268370	1269998	-	1629	1454	900	159	138	97
MA_RS05530	NC_003552.1	1270407	1271657	-	1251	2449	1450	122	90	41
MA_RS05535	NC_003552.1	1271663	1272832	-	1170	1160	1037	200	151	158
MA_RS05540	NC_003552.1	1272835	1274172	-	1338	2359	1847	175	169	129
MA_RS05545	NC_003552.1	1274200	1275240	-	1041	1931	1627	144	77	85
MA_RS05550	NC_003552.1	1275297	1275986	-	690	1094	913	126	121	88
MA_RS05555	NC_003552.1	1275983	1276759	-	777	2892	2652	138	101	90
MA_RS28160	NC_003552.1	1276872	1278596	-	1725	12612	12313	1228	926	870
MA_RS05570	NC_003552.1	1278700	1280232	-	1533	10705	10521	814	759	714
MA_RS05575	NC_003552.1	1281584	1282216	+	633	1049	840	94	99	105
MA_RS05580	NC_003552.1	1282774	1283295	-	522	250	207	8	0	0
MA_RS28060	NC_003552.1	1284550	1284705	+	156	18	10	0	0	0
MA_RS05585	NC_003552.1	1284710	1285003	+	294	176	127	4	4	6
MA_RS05595	NC_003552.1	1285985	1286998	+	1014	20908	20075	6120	2378	3754
MA_RS05600	NC_003552.1	1287005	1287766	+	762	12401	12501	4062	1927	2507
MA_RS05605	NC_003552.1	1287763	1288011	+	249	999	726	367	177	221
MA_RS05610	NC_003552.1	1288022	1288738	+	717	11895	11608	9903	3569	5743
MA_RS05615	NC_003552.1	1288754	1289164	+	411	3293	2972	1575	655	917
MA_RS05620	NC_003552.1	1289176	1289631	+	456	5069	3968	1577	707	933
MA_RS05625	NC_003552.1	1289632	1290588	+	957	15284	13840	5100	1987	3004
MA_RS05630	NC_003552.1	1290588	1290791	+	204	420	283	413	166	261
MA_RS05635	NC_003552.1	1290781	1291113	+	333	1105	971	8707	4939	5554
MA_RS05640	NC_003552.1	1291118	1291447	+	330	1917	1334	776	319	630
MA_RS05645	NC_003552.1	1291444	1291842	+	399	3294	3399	810	310	467
MA_RS05650	NC_003552.1	1291853	1292203	+	351	2596	2687	1148	976	1039
MA_RS05655	NC_003552.1	1292217	1292924	+	708	11045	10380	7186	1834	3662
MA_RS05660	NC_003552.1	1292929	1293426	+	498	5651	5238	2723	875	1528
MA_RS05665	NC_003552.1	1293427	1293579	+	153	163	106	13	8	13
MA_RS05670	NC_003552.1	1293590	1293982	+	393	3158	2431	4142	2226	2866
MA_RS05675	NC_003552.1	1293997	1294527	+	531	5748	5156	883	450	578
MA_RS05680	NC_003552.1	1294539	1295015	+	477	3849	3067	1339	440	723
MA_RS05685	NC_003552.1	1295017	1295472	+	456	4551	4623	1693	1045	1268
MA_RS05690	NC_003552.1	1295489	1296013	+	525	9033	9367	5975	2864	3620
MA_RS05695	NC_003552.1	1296023	1296652	+	630	12487	16935	8729	4460	6411
MA_RS05700	NC_003552.1	1296654	1297115	+	462	7475	9900	2067	1750	1700
MA_RS05705	NC_003552.1	1297126	1297548	+	423	6097	5730	1725	773	1194
MA_RS05710	NC_003552.1	1297691	1299166	+	1476	23560	24509	8896	4295	5784
MA_RS05715	NC_003552.1	1299259	1299906	+	648	11510	12572	1713	1343	1401
MA_RS05720	NC_003552.1	1300099	1300377	+	279	6951	3187	14	19	10
MA_RS05725	NC_003552.1	1300425	1300970	-	546	533	562	55	42	45
MA_RS05730	NC_003552.1	1302289	1303281	-	993	360	293	9	7	4
MA_RS05735	NC_003552.1	1303855	1304091	-	237	144	128	12	7	12
MA_RS05740	NC_003552.1	1304760	1305659	+	900	1060	1280	70	28	38
MA_RS05745	NC_003552.1	1306088	1306708	+	621	6641	5524	723	515	501
MA_RS05750	NC_003552.1	1306708	1307250	+	543	3696	4186	393	261	262
MA_RS05755	NC_003552.1	1307563	1308579	+	1017	2773	2681	407	304	319
MA_RS05760	NC_003552.1	1308692	1308774	+	83	81	36	6	0	4
MA_RS05765	NC_003552.1	1309343	1310050	+	708	621	515	121	84	70
MA_RS05770	NC_003552.1	1310037	1311611	+	1575	2558	2166	349	218	220
MA_RS05775	NC_003552.1	1312030	1312518	+	489	14956	12550	2756	1589	2387
MA_RS05780	NC_003552.1	1312542	1313198	+	657	9333	8774	5660	3954	4073
MA_RS05785	NC_003552.1	1313201	1313581	+	381	5506	5149	1315	913	979
MA_RS05800	NC_003552.1	1316554	1318083	-	1530	312	257	35	48	38
MA_RS26585	NC_003552.1	1318782	1318958	-	177	62	30	0	0	1
MA_RS05810	NC_003552.1	1318948	1319865	-	918	313	403	0	12	2
MA_RS05815	NC_003552.1	1320020	1320107	+	88	143	57	8	2	4
MA_RS05820	NC_003552.1	1320214	1320298	+	85	63	45	5	3	0
MA_RS05825	NC_003552.1	1320776	1321651	+	876	449	328	81	50	49
MA_RS05830	NC_003552.1	1321908	1323128	-	1221	448	395	36	45	45
MA_RS05835	NC_003552.1	1323164	1324597	-	1434	533	483	46	38	65
MA_RS05840	NC_003552.1	1324607	1325545	-	939	238	224	75	15	46
MA_RS05845	NC_003552.1	1325718	1327145	-	1428	265	235	82	40	72
MA_RS05850	NC_003552.1	1327168	1327623	-	456	101	59	8	2	4
MA_RS05855	NC_003552.1	1328311	1329009	+	699	675	641	37	46	54
MA_RS26590	NC_003552.1	1329593	1330006	+	414	1480	902	24	30	16
MA_RS05860	NC_003552.1	1330048	1330965	-	918	245	248	2	8	0
MA_RS24400	NC_003552.1	1331057	1333651	+	2595	2242	1721	204	187	70
MA_RS05870	NC_003552.1	1333817	1334644	-	828	4699	4569	231	223	138
MA_RS05875	NC_003552.1	1334669	1335895	-	1227	9968	8304	640	402	385
MA_RS05880	NC_003552.1	1336197	1337615	-	1419	2516	2117	285	205	198
MA_RS05885	NC_003552.1	1337783	1339096	+	1314	12511	13032	3326	2067	2078
MA_RS05890	NC_003552.1	1339430	1340500	+	1071	7014	6085	1820	835	1032
MA_RS05895	NC_003552.1	1340505	1341311	+	807	4254	3451	417	371	389
MA_RS05900	NC_003552.1	1341560	1342183	-	624	622	576	8	4	6
MA_RS05905	NC_003552.1	1342271	1342816	-	546	551	704	28	5	20
MA_RS05910	NC_003552.1	1342974	1343171	-	198	3703	2284	4	12	4
MA_RS05915	NC_003552.1	1343665	1344711	-	1047	1519	1832	387	250	275
MA_RS05920	NC_003552.1	1344761	1345432	-	672	1330	1407	183	104	77
MA_RS05925	NC_003552.1	1345653	1346054	-	402	252	237	30	34	25
MA_RS05930	NC_003552.1	1346047	1347132	-	1086	1455	1614	579	272	389
MA_RS05935	NC_003552.1	1347167	1347445	-	279	621	615	47	41	41
MA_RS05945	NC_003552.1	1348886	1350037	+	1152	4931	4234	4272	2223	2568
MA_RS05950	NC_003552.1	1350045	1351832	+	1788	6641	6964	6639	2818	3855
MA_RS05955	NC_003552.1	1351847	1352659	+	813	2055	2047	2316	985	1506
MA_RS05960	NC_003552.1	1352797	1353282	+	486	795	799	331	243	289
MA_RS05965	NC_003552.1	1353733	1354695	-	963	1314	1125	357	217	240
MA_RS05970	NC_003552.1	1355292	1356455	+	1164	2699	2671	372	188	225
MA_RS05975	NC_003552.1	1356455	1358245	+	1791	5590	4931	474	180	272
MA_RS05980	NC_003552.1	1358257	1359021	+	765	1201	921	243	128	120
