# Program:featureCounts v2.1.1; Command:"featureCounts" "-p" "-t" "gene" "-g" "locus_tag" "-a" "/home/nyako/projects/ProteinHunter/data/databases/target/methanosarcina_acetivorans/ncbi_dataset/data/GCF_000007345.1/genomic.gff" "-o" "counts/counts.txt" "-T" "8" "bam/SRR20281608.sorted.bam" "bam/SRR20281609.sorted.bam" "bam/SRR20281610.sorted.bam" "bam/SRR20281611.sorted.bam" "bam/SRR20280855.sorted.bam" "bam/SRR20280860.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/SRR20281608.sorted.bam	bam/SRR20281609.sorted.bam	bam/SRR20281610.sorted.bam	bam/SRR20281611.sorted.bam	bam/SRR20280855.sorted.bam	bam/SRR20280860.sorted.bam
MA_RS03480	NC_003552.1	779151	779768	+	618	20474	19165	14069	14192	10944	20897
MA_RS03485	NC_003552.1	779770	780360	+	591	10573	12985	11871	15792	7610	15355
MA_RS03490	NC_003552.1	780362	781147	+	786	19051	22909	22299	27319	18251	33538
MA_RS03495	NC_003552.1	781197	781532	+	336	10855	14121	13696	14223	7187	14153
MA_RS03500	NC_003552.1	781743	782240	-	498	1208	1141	951	763	1032	1044
MA_RS03505	NC_003552.1	782413	783465	-	1053	1225	969	940	794	1268	1258
MA_RS03510	NC_003552.1	783936	784769	-	834	3624	2836	2531	2474	2311	2324
MA_RS03515	NC_003552.1	785002	786006	+	1005	14592	11121	6698	6518	9764	9847
MA_RS03520	NC_003552.1	786139	786651	+	513	8077	6911	6974	5963	3936	4344
MA_RS03525	NC_003552.1	786830	787093	+	264	9284	7302	7766	5720	5936	6479
MA_RS03530	NC_003552.1	787229	787450	-	222	8537	6262	5698	4534	6662	10236
MA_RS03535	NC_003552.1	787765	788736	+	972	3664	3962	4488	3970	3827	4324
MA_RS03540	NC_003552.1	789265	790983	+	1719	20904	19168	13867	12723	15898	19232
MA_RS03545	NC_003552.1	791006	792487	+	1482	16953	14150	9022	8464	15089	16213
MA_RS03550	NC_003552.1	792605	793582	+	978	27606	22456	19971	14459	89662	60737
MA_RS03555	NC_003552.1	793566	794189	+	624	8925	6935	7275	4529	7222	8765
MA_RS03560	NC_003552.1	794778	795740	-	963	8034	5751	3141	3933	3611	3744
MA_RS03565	NC_003552.1	795772	796395	-	624	4553	3519	1712	2447	3691	3492
MA_RS03570	NC_003552.1	796533	796823	-	291	4821	3676	3329	3699	5353	5595
MA_RS03575	NC_003552.1	796970	799075	-	2106	33677	28242	20882	19188	12650	15690
MA_RS03580	NC_003552.1	799193	799951	-	759	2120	1713	1643	1306	1585	1514
MA_RS03585	NC_003552.1	799988	800185	-	198	185	140	85	65	151	143
MA_RS03590	NC_003552.1	800592	800975	+	384	4605	2775	2080	1938	821	1624
MA_RS03595	NC_003552.1	801921	802595	+	675	42526	18901	15804	6839	32538	36456
MA_RS26490	NC_003552.1	802931	803107	-	177	39	53	53	34	211	210
MA_RS03600	NC_003552.1	803364	804146	+	783	33014	30388	28146	24376	15147	28020
MA_RS03605	NC_003552.1	804148	805377	+	1230	68525	63881	64486	51670	31258	54876
MA_RS03610	NC_003552.1	805491	806126	+	636	3094	2969	3025	2533	1948	2477
MA_RS03615	NC_003552.1	806119	806751	+	633	1323	1326	1200	1181	1601	1411
MA_RS03620	NC_003552.1	806927	808051	+	1125	504	376	267	227	303	295
MA_RS03625	NC_003552.1	808279	809448	+	1170	2790	2075	2249	1709	3871	3530
MA_RS24895	NC_003552.1	809468	809829	-	362	608733	581977	1404809	1406967	424725	525074
MA_RS03630	NC_003552.1	810326	811465	+	1140	19101	14890	11477	9858	16183	16999
MA_RS03635	NC_003552.1	811452	812492	+	1041	20305	16810	15459	13776	8659	12663
MA_RS03640	NC_003552.1	812489	813127	+	639	6015	4961	4303	3697	2999	4700
MA_RS03645	NC_003552.1	813275	813994	+	720	4850	4696	4569	4822	2887	4191
MA_RS03650	NC_003552.1	814086	814775	-	690	5017	4849	4176	3405	1974	3281
MA_RS03655	NC_003552.1	814766	815719	-	954	7846	7084	5610	4599	2017	3342
MA_RS03660	NC_003552.1	815716	816687	-	972	8084	7850	7102	6266	4123	6247
MA_RS03665	NC_003552.1	816684	817631	-	948	20239	17667	15704	13419	14002	15960
MA_RS03670	NC_003552.1	817825	819624	-	1800	37968	29225	21078	18754	22285	24530
MA_RS03675	NC_003552.1	819984	820226	+	243	63	53	39	27	93	91
MA_RS03680	NC_003552.1	820217	821221	-	1005	711	592	765	611	684	609
MA_RS03685	NC_003552.1	821430	821927	+	498	215	159	225	143	221	127
MA_RS03690	NC_003552.1	822155	823519	+	1365	230	235	218	183	316	270
MA_RS03695	NC_003552.1	823576	823938	+	363	67	76	46	37	73	51
MA_RS03700	NC_003552.1	824337	824927	-	591	1271	1111	967	896	746	715
MA_RS03705	NC_003552.1	825331	826671	+	1341	16434	11634	9246	8718	6711	8322
MA_RS03710	NC_003552.1	826637	828793	+	2157	25848	20576	17072	14210	14015	17893
MA_RS03715	NC_003552.1	829089	829517	-	429	16462	11445	7536	6863	5497	5632
MA_RS03720	NC_003552.1	829862	829936	-	75	215	166	189	189	140	188
MA_RS03725	NC_003552.1	830087	830638	-	552	6883	5598	5176	4020	4027	4379
MA_RS03730	NC_003552.1	830638	831018	-	381	2113	1481	1297	1345	1226	1635
MA_RS03735	NC_003552.1	831024	832241	-	1218	23528	17112	14930	12408	6992	9796
MA_RS03740	NC_003552.1	832366	833289	+	924	19488	16711	15818	12559	11429	15123
MA_RS03745	NC_003552.1	833678	835750	+	2073	497439	433323	344457	261006	304719	572894
MA_RS03755	NC_003552.1	836209	836778	+	570	8932	7332	5051	4084	2893	4268
MA_RS03760	NC_003552.1	836759	837766	+	1008	12459	10461	7981	7972	6019	6819
MA_RS03765	NC_003552.1	837898	838491	+	594	9024	7909	5534	4351	4718	5284
MA_RS03770	NC_003552.1	839119	840054	+	936	27677	22033	18113	15028	22312	29129
MA_RS03775	NC_003552.1	840172	840450	+	279	6534	6263	4853	5766	7188	9540
MA_RS03780	NC_003552.1	840784	841944	+	1161	11392	9892	9970	8305	10377	12141
MA_RS03785	NC_003552.1	842304	842642	-	339	2667	2386	1973	1990	2509	2063
MA_RS03790	NC_003552.1	842758	843354	-	597	8433	8052	6328	5615	26536	15808
MA_RS03795	NC_003552.1	843681	844235	+	555	1877	1831	2335	2888	3286	3745
MA_RS03800	NC_003552.1	844407	845669	-	1263	11043	9249	9418	9279	7637	8398
MA_RS03805	NC_003552.1	846127	847893	-	1767	1654	1107	753	510	1150	1030
MA_RS03810	NC_003552.1	847988	849730	-	1743	2396	1440	891	714	2103	1576
MA_RS03815	NC_003552.1	849942	850013	+	72	339	417	733	927	311	220
MA_RS03820	NC_003552.1	850158	850568	-	411	1160	1198	884	807	1006	921
MA_RS03825	NC_003552.1	851002	851268	-	267	111	129	86	67	83	113
MA_RS03830	NC_003552.1	851687	852457	+	771	337	276	133	129	215	141
MA_RS29620	NC_003552.1	853438	853626	+	189	2056	1647	1075	906	1368	1248
MA_RS28350	NC_003552.1	853879	854082	+	204	358	382	381	350	506	628
MA_RS03845	NC_003552.1	854297	854923	+	627	701	557	452	302	308	348
MA_RS03850	NC_003552.1	855054	855461	-	408	1576	1200	966	811	651	656
MA_RS03855	NC_003552.1	855803	856483	+	681	378	363	348	213	332	265
MA_RS28140	NC_003552.1	856798	857814	+	1017	650	539	369	345	544	456
MA_RS03870	NC_003552.1	858898	859521	-	624	866	569	490	415	643	659
MA_RS03875	NC_003552.1	859801	860394	-	594	390	307	385	289	506	406
MA_RS26500	NC_003552.1	860711	860878	-	168	898	752	985	880	1010	1047
MA_RS28355	NC_003552.1	862330	862620	-	291	228	222	225	205	271	233
MA_RS28360	NC_003552.1	862569	862829	-	261	404	323	302	249	173	185
MA_RS03885	NC_003552.1	863065	863532	-	468	1946	1538	2484	1916	1194	1448
MA_RS03890	NC_003552.1	863703	864677	-	975	499	362	366	178	241	247
MA_RS03895	NC_003552.1	864913	865548	+	636	234	176	209	143	279	313
MA_RS03900	NC_003552.1	865857	866267	+	411	1766	1422	1589	1222	1259	1623
MA_RS03905	NC_003552.1	866486	867484	-	999	5067	4056	3138	2565	3567	3215
MA_RS03910	NC_003552.1	867686	868279	+	594	484	384	325	276	265	278
MA_RS03915	NC_003552.1	868435	869856	+	1422	20753	15700	13369	9481	13395	13629
MA_RS03920	NC_003552.1	869889	870740	-	852	4654	4465	3516	3298	4425	4808
MA_RS03925	NC_003552.1	871621	872079	+	459	199	113	129	158	225	154
MA_RS03930	NC_003552.1	872268	873185	+	918	4778	4009	1924	2671	3533	4113
MA_RS03935	NC_003552.1	873486	873890	+	405	719	669	533	375	488	433
MA_RS26505	NC_003552.1	874465	874617	-	153	37	26	11	13	17	5
MA_RS03940	NC_003552.1	874642	874992	+	351	66	36	44	29	37	37
MA_RS03945	NC_003552.1	875043	875864	+	822	374	265	276	107	75	126
MA_RS28365	NC_003552.1	875876	876019	+	144	75	45	56	23	15	18
MA_RS27845	NC_003552.1	876190	876339	+	150	406	265	223	226	133	114
MA_RS03955	NC_003552.1	876714	877568	+	855	7711	7269	7511	5727	8282	7742
MA_RS03960	NC_003552.1	877867	881013	+	3147	14669	10999	9479	6409	17235	15491
MA_RS03965	NC_003552.1	881428	885273	+	3846	5693	4115	3497	2524	4237	3830
MA_RS03975	NC_003552.1	885884	887419	+	1536	2404	2000	1340	1189	826	944
MA_RS03980	NC_003552.1	887894	889543	+	1650	891	713	776	493	1316	975
MA_RS03985	NC_003552.1	890046	892913	+	2868	5170	4166	4086	2880	1952	2633
MA_RS03990	NC_003552.1	892949	896812	-	3864	7960	7618	5557	4745	5997	6721
MA_RS03995	NC_003552.1	897256	897468	+	213	439	321	168	184	330	244
MA_RS04000	NC_003552.1	897465	897698	+	234	719	472	315	181	474	348
MA_RS04005	NC_003552.1	897937	898233	+	297	472	429	410	504	925	835
MA_RS04010	NC_003552.1	898230	898580	+	351	2236	2205	1635	1358	1106	980
MA_RS04015	NC_003552.1	898820	899326	+	507	1887	1696	1322	1114	1104	1024
MA_RS04020	NC_003552.1	899378	900142	-	765	1288	1051	964	662	876	638
MA_RS28370	NC_003552.1	900424	900660	+	237	173	83	40	33	52	50
MA_RS04025	NC_003552.1	900679	901380	+	702	190	140	156	138	148	121
MA_RS04030	NC_003552.1	901519	902511	-	993	608	465	511	472	508	477
MA_RS29700	NC_003552.1	902852	903121	-	270	506	465	338	225	466	402
MA_RS26515	NC_003552.1	903169	903333	-	165	126	109	57	51	91	50
MA_RS04040	NC_003552.1	903734	904126	-	393	316	260	181	189	447	312
MA_RS04045	NC_003552.1	904627	905556	-	930	1362	1041	870	575	2247	1939
MA_RS04050	NC_003552.1	905868	906128	-	261	139	85	89	54	241	219
MA_RS04055	NC_003552.1	906555	907094	-	540	1569	1653	1556	978	1395	1645
MA_RS04060	NC_003552.1	907759	908814	+	1056	11848	8433	7557	3763	13114	14330
MA_RS27855	NC_003552.1	909054	909221	+	168	3501	3338	4477	5383	13585	15279
MA_RS04070	NC_003552.1	910007	911701	+	1695	25072	20348	19373	10633	10543	15654
MA_RS04075	NC_003552.1	911741	911995	-	255	1760	1270	1085	592	469	705
MA_RS26525	NC_003552.1	911965	912111	-	147	12	23	8	5	12	7
MA_RS04080	NC_003552.1	912278	913303	+	1026	493	342	404	302	320	408
MA_RS04085	NC_003552.1	913295	914269	-	975	961	873	769	712	747	905
MA_RS04090	NC_003552.1	914377	915108	+	732	3169	3031	2582	2247	2271	2568
MA_RS04095	NC_003552.1	915311	916171	-	861	4092	3189	2645	2149	2450	2618
MA_RS04100	NC_003552.1	916255	917382	-	1128	14798	11754	10890	9680	7485	9108
MA_RS04105	NC_003552.1	917648	918232	-	585	392	285	182	149	237	173
MA_RS28375	NC_003552.1	918656	919090	+	435	63440	44686	46326	59959	18191	21729
MA_RS04115	NC_003552.1	919641	920282	+	642	177	136	163	105	129	124
MA_RS04125	NC_003552.1	921378	922271	+	894	1324	1419	1533	1419	861	1060
MA_RS04130	NC_003552.1	922460	923425	+	966	2737	1676	1614	1031	2521	2161
MA_RS04135	NC_003552.1	923467	924438	-	972	4292	2535	1975	1247	3679	2684
MA_RS04140	NC_003552.1	924471	925478	-	1008	4524	2969	1709	1275	4431	2807
MA_RS04145	NC_003552.1	925595	926740	-	1146	17713	13683	12274	10663	24933	19210
MA_RS04150	NC_003552.1	926962	927891	+	930	2182	2113	1874	1607	4758	3478
MA_RS04155	NC_003552.1	928093	928416	-	324	204	183	106	115	229	168
MA_RS04160	NC_003552.1	928544	929260	-	717	248	199	234	194	278	276
MA_RS04165	NC_003552.1	929235	930365	-	1131	460	432	360	263	490	474
MA_RS04170	NC_003552.1	930341	931303	-	963	466	352	363	245	380	386
MA_RS04175	NC_003552.1	933015	933719	-	705	635	562	345	1333	473	642
MA_RS04180	NC_003552.1	934184	935077	+	894	3991	4871	3515	3387	7702	6321
MA_RS04185	NC_003552.1	935609	936478	+	870	2353	2368	1650	1538	3518	3590
MA_RS26530	NC_003552.1	936687	936863	-	177	149	79	46	30	117	103
MA_RS04190	NC_003552.1	937013	937708	-	696	529	406	222	185	655	412
MA_RS04195	NC_003552.1	938155	938292	-	138	262	273	268	368	810	626
MA_RS04200	NC_003552.1	939161	940330	+	1170	6146	4096	5164	3321	8673	7832
MA_RS04205	NC_003552.1	940430	941194	-	765	3898	1970	1889	671	7548	5296
MA_RS04210	NC_003552.1	941247	941909	-	663	3434	1174	1103	456	2769	2173
MA_RS04215	NC_003552.1	941966	943120	-	1155	4346	2331	2182	1080	7210	5412
MA_RS04220	NC_003552.1	943288	943707	-	420	1539	475	404	230	1965	1126
MA_RS04225	NC_003552.1	943727	943954	-	228	766	381	301	193	541	425
MA_RS04230	NC_003552.1	944141	944560	-	420	2212	1227	669	561	1370	1147
MA_RS04235	NC_003552.1	944933	945289	+	357	923	848	616	454	526	514
MA_RS04240	NC_003552.1	945361	947916	-	2556	15932	13333	8850	7491	9525	8449
MA_RS26535	NC_003552.1	948247	948390	-	144	1237	925	755	896	957	782
MA_RS04245	NC_003552.1	948831	950003	-	1173	48512	38005	29016	18672	41831	31253
MA_RS04250	NC_003552.1	950179	951132	-	954	14953	11738	8293	8920	6232	7504
MA_RS29705	NC_003552.1	951171	951449	-	279	2000	1829	1087	1173	999	1221
MA_RS29710	NC_003552.1	951477	951902	-	426	7313	7716	6570	6378	6043	6115
MA_RS04260	NC_003552.1	951923	952180	-	258	16199	11146	9788	7855	5424	6085
MA_RS04265	NC_003552.1	953060	953983	-	924	1549	1005	785	626	819	955
MA_RS04270	NC_003552.1	954420	955169	+	750	6518	5386	2901	2219	6118	6645
MA_RS04275	NC_003552.1	955395	956135	+	741	22192	17734	18212	12925	17337	16405
MA_RS04285	NC_003552.1	956440	957198	+	759	16043	14021	10782	9534	15086	16483
MA_RS04290	NC_003552.1	957309	958709	-	1401	9386	7705	6808	5418	5296	6679
MA_RS04295	NC_003552.1	958702	959244	-	543	2232	1979	1574	1327	1089	1246
MA_RS04300	NC_003552.1	959728	960123	-	396	7557	7158	4961	6878	1912	2726
MA_RS04305	NC_003552.1	961569	963212	-	1644	5950	4752	4055	3678	2552	3395
MA_RS04310	NC_003552.1	963729	964304	-	576	3897	2596	1721	1624	1621	1798
MA_RS04320	NC_003552.1	965341	967356	+	2016	2270914	1961946	1755625	1610730	1012381	1567424
MA_RS04325	NC_003552.1	967529	968110	+	582	23192	25089	21274	15573	14796	24853
MA_RS04330	NC_003552.1	968396	969211	+	816	2411	1920	1704	1084	953	1058
MA_RS04335	NC_003552.1	969749	970507	-	759	806	579	617	518	522	689
MA_RS04340	NC_003552.1	970508	972226	-	1719	1505	1253	957	920	971	1273
MA_RS04345	NC_003552.1	972228	973532	-	1305	987	695	801	549	515	794
MA_RS04350	NC_003552.1	973610	973993	-	384	271	278	218	180	115	162
MA_RS04355	NC_003552.1	974836	974945	+	110	305	402	367	588	493	413
MA_RS04365	NC_003552.1	975948	976697	-	750	360	268	220	233	159	195
MA_RS04370	NC_003552.1	976685	977515	-	831	461	423	355	289	303	265
MA_RS04380	NC_003552.1	979079	980770	+	1692	43935	35406	15834	19487	17875	26120
MA_RS04385	NC_003552.1	980748	981608	+	861	30667	31232	20165	18435	23498	31518
MA_RS04390	NC_003552.1	981636	982619	+	984	31021	31201	20465	19351	15999	24501
MA_RS04395	NC_003552.1	982633	983571	+	939	19055	16508	14457	12859	8089	13517
MA_RS04400	NC_003552.1	983574	985295	+	1722	29160	26970	19240	16218	16701	26766
MA_RS04405	NC_003552.1	985457	986449	+	993	7275	5653	2379	2269	2691	4460
MA_RS04410	NC_003552.1	986446	987210	+	765	2797	2715	1838	1669	1734	3119
MA_RS04415	NC_003552.1	987383	988459	+	1077	7211	6627	4753	3872	7561	7432
MA_RS04420	NC_003552.1	988690	989232	-	543	1685	1873	1270	748	5864	3591
MA_RS04425	NC_003552.1	989192	990883	-	1692	8381	6863	5858	2176	15802	7824
MA_RS28380	NC_003552.1	991446	998273	-	6828	40516	30722	29144	18304	22989	37014
MA_RS29290	NC_003552.1	999281	1006981	-	7701	42832	31684	26910	15823	18410	39461
MA_RS04440	NC_003552.1	1007702	1008478	-	777	727	637	586	448	487	455
MA_RS04445	NC_003552.1	1008475	1009398	-	924	584	397	305	222	426	314
MA_RS04450	NC_003552.1	1009640	1010161	+	522	785	686	431	304	495	622
MA_RS04460	NC_003552.1	1012528	1013631	-	1104	952	782	724	250	1158	723
MA_RS04465	NC_003552.1	1014321	1015928	-	1608	2468	2511	2018	555	4800	2208
MA_RS04470	NC_003552.1	1016347	1018281	-	1935	3210	3638	3414	654	9596	3794
MA_RS04475	NC_003552.1	1019006	1020910	-	1905	14086	18024	18077	3807	64002	22978
MA_RS04480	NC_003552.1	1021409	1021891	+	483	1597	1160	1096	827	1164	1450
MA_RS04485	NC_003552.1	1021908	1022825	+	918	2066	1862	1325	882	1482	1761
MA_RS04490	NC_003552.1	1023722	1024522	-	801	1955	1805	1427	977	1482	1570
MA_RS04495	NC_003552.1	1024642	1026891	-	2250	12217	9688	9464	6210	6165	7278
MA_RS28395	NC_003552.1	1026922	1027569	-	648	2705	2298	1736	1247	1358	1527
MA_RS04510	NC_003552.1	1028464	1029468	+	1005	14617	12806	10586	7721	19858	16630
MA_RS04515	NC_003552.1	1029796	1030539	-	744	3829	4368	3754	3317	2183	3126
MA_RS04520	NC_003552.1	1030539	1031306	-	768	5569	5377	3854	3352	2303	2992
MA_RS04525	NC_003552.1	1031303	1032196	-	894	6096	6111	4898	4342	3221	4588
MA_RS04530	NC_003552.1	1032222	1034123	-	1902	7639	8185	5817	7236	5831	7765
MA_RS04535	NC_003552.1	1034157	1035734	-	1578	14208	14894	8701	9471	8946	12507
MA_RS04540	NC_003552.1	1035751	1039659	-	3909	63995	65158	43336	43570	38192	54664
MA_RS04545	NC_003552.1	1039669	1041381	-	1713	17040	15469	9651	10688	9309	12431
MA_RS04550	NC_003552.1	1041386	1042909	-	1524	19552	19356	15477	15533	13217	17087
MA_RS04555	NC_003552.1	1042949	1043542	-	594	11993	10089	7809	7857	5872	7475
MA_RS04560	NC_003552.1	1043905	1045662	+	1758	10129	11330	6911	7652	9596	12861
MA_RS04565	NC_003552.1	1045683	1047797	+	2115	12338	11299	9028	10816	8918	10644
MA_RS04570	NC_003552.1	1047778	1048803	-	1026	1715	1314	1317	954	624	773
MA_RS04575	NC_003552.1	1048796	1049737	-	942	1158	906	497	514	396	768
MA_RS04580	NC_003552.1	1049734	1050588	-	855	2084	1781	1593	1049	734	1856
MA_RS04590	NC_003552.1	1051642	1051929	-	288	2016	1449	1287	587	1344	3075
MA_RS04595	NC_003552.1	1051926	1055828	-	3903	39342	31813	28384	16772	18315	35157
MA_RS04600	NC_003552.1	1055832	1057406	-	1575	13719	10999	9448	5332	6136	10688
MA_RS04605	NC_003552.1	1058343	1060475	+	2133	22213	14816	14864	5910	15807	27273
MA_RS04610	NC_003552.1	1060666	1063473	+	2808	66093	52430	40553	31268	47183	56206
MA_RS04615	NC_003552.1	1063818	1064105	+	288	808	1632	615	399	2181	1336
MA_RS04620	NC_003552.1	1064522	1065445	+	924	107391	100840	83205	76429	39954	79362
MA_RS04625	NC_003552.1	1065477	1066367	+	891	32970	36719	29230	32337	17796	41931
MA_RS04630	NC_003552.1	1066370	1067293	+	924	39480	41292	34813	33995	12798	29809
MA_RS04635	NC_003552.1	1067344	1068120	+	777	36190	35060	27719	20874	12090	26533
MA_RS04640	NC_003552.1	1068127	1068777	+	651	19588	19029	15489	13034	8920	17922
MA_RS04645	NC_003552.1	1069061	1070464	+	1404	5607	4353	4158	3350	3267	3347
MA_RS04650	NC_003552.1	1070496	1071044	-	549	12937	10269	8527	7363	10281	9966
MA_RS04655	NC_003552.1	1071041	1071829	-	789	11615	9804	5990	5214	9330	6868
MA_RS04660	NC_003552.1	1071831	1072160	-	330	5762	4017	2985	2898	3585	2905
MA_RS04665	NC_003552.1	1073041	1074518	+	1478	6474910	5990292	3109321	5049565	6454014	6637172
MA_RS04670	NC_003552.1	1074708	1077611	+	2904	1258779	1137296	403057	1614271	6977951	4746135
MA_RS04675	NC_003552.1	1077685	1077807	+	123	6348	7893	11063	16794	12285	15454
MA_RS04680	NC_003552.1	1078142	1079521	-	1380	1611	1276	1024	878	1703	1438
MA_RS04685	NC_003552.1	1080109	1080471	-	363	7801	7802	5019	5235	12800	12780
MA_RS04690	NC_003552.1	1080559	1080876	-	318	13383	9129	4447	4183	7362	6624
MA_RS04695	NC_003552.1	1081168	1082313	-	1146	6994	5850	4446	3923	4075	4088
MA_RS04700	NC_003552.1	1082474	1084453	+	1980	7452	6186	6525	4119	11692	10557
MA_RS25080	NC_003552.1	1084559	1085227	-	669	280	192	153	118	297	244
MA_RS27875	NC_003552.1	1085224	1085580	-	357	198	160	95	72	148	164
MA_RS29715	NC_003552.1	1085543	1085632	-	90	5	1	4	2	4	2
MA_RS04710	NC_003552.1	1085862	1086224	+	363	2134	2061	2377	1983	2251	1949
MA_RS04715	NC_003552.1	1086700	1088622	+	1923	4106	3123	2992	2490	2776	3271
MA_RS04720	NC_003552.1	1088846	1089712	+	867	1099	915	747	524	914	1010
MA_RS28400	NC_003552.1	1089821	1089967	+	147	157	196	187	235	304	148
MA_RS04725	NC_003552.1	1090082	1090528	-	447	129	105	77	83	97	103
MA_RS04730	NC_003552.1	1090553	1090906	-	354	160	92	64	47	42	36
MA_RS25085	NC_003552.1	1091291	1091437	+	147	8203	8195	9992	10258	17363	15753
MA_RS04735	NC_003552.1	1091615	1092223	+	609	5264	4677	4343	3718	3485	4020
MA_RS04740	NC_003552.1	1092417	1093751	+	1335	8658	5836	4275	3801	2506	3973
MA_RS04745	NC_003552.1	1093839	1095143	-	1305	21533	16849	14037	8738	12475	15929
MA_RS04750	NC_003552.1	1095195	1095992	-	798	15406	11919	9414	6214	7506	8685
MA_RS04755	NC_003552.1	1096558	1098690	+	2133	18320	14188	11251	9343	12081	13600
MA_RS29295	NC_003552.1	1098809	1098931	-	123	338	300	205	149	264	333
MA_RS04760	NC_003552.1	1098963	1099403	-	441	2563	2007	1875	1167	1343	1197
MA_RS04765	NC_003552.1	1099573	1100187	-	615	27434	21963	19914	16489	21275	17197
MA_RS04770	NC_003552.1	1100355	1100861	-	507	906	727	399	361	879	444
MA_RS04775	NC_003552.1	1101370	1102056	-	687	13703	8648	11053	5600	35589	14527
MA_RS04780	NC_003552.1	1102308	1102634	-	327	1843	1564	1546	1209	1671	1653
MA_RS04785	NC_003552.1	1103181	1103558	+	378	30029	23439	22023	16428	14747	18467
MA_RS04790	NC_003552.1	1103632	1104123	+	492	23789	22494	22559	17260	27922	35821
MA_RS04795	NC_003552.1	1104205	1105386	+	1182	30459	26691	24365	18848	19897	27955
MA_RS04800	NC_003552.1	1105934	1106335	-	402	3429	3373	3065	3150	3107	3260
MA_RS04805	NC_003552.1	1106736	1107419	+	684	2548	2722	2403	2332	5259	4288
MA_RS28045	NC_003552.1	1107509	1107658	-	150	620	639	722	744	667	695
MA_RS04810	NC_003552.1	1107674	1107970	-	297	69	46	41	12	45	37
MA_RS04820	NC_003552.1	1109141	1109794	-	654	297	178	207	88	190	161
MA_RS04845	NC_003552.1	1113305	1113955	-	651	121	39	44	21	134	100
MA_RS04850	NC_003552.1	1113958	1114155	-	198	23	40	1	7	40	30
MA_RS04855	NC_003552.1	1114425	1114790	-	366	1369	1117	773	689	938	953
MA_RS04860	NC_003552.1	1114909	1115871	-	963	4868	4082	3048	3067	2723	2814
MA_RS04865	NC_003552.1	1115875	1116582	-	708	3835	2856	1871	1778	1566	1683
MA_RS04870	NC_003552.1	1116628	1117239	-	612	2454	1982	1541	1115	1093	1559
MA_RS04875	NC_003552.1	1117224	1118060	-	837	2877	2121	1902	1500	1444	2099
MA_RS04880	NC_003552.1	1118078	1118620	-	543	2913	2449	2413	1927	2007	2476
MA_RS04890	NC_003552.1	1118909	1119868	-	960	3143	2409	1971	1718	2858	3265
MA_RS04895	NC_003552.1	1119865	1121355	-	1491	6139	4262	3557	2908	4487	4863
MA_RS04900	NC_003552.1	1121827	1123068	+	1242	4495	4110	3887	3738	3165	3369
MA_RS04905	NC_003552.1	1123186	1124670	-	1485	980	905	575	656	734	704
MA_RS28405	NC_003552.1	1125282	1125467	-	186	218	183	134	129	175	214
MA_RS28410	NC_003552.1	1125466	1125768	+	303	403	270	210	140	216	223
MA_RS04920	NC_003552.1	1125765	1126397	+	633	100	92	60	27	148	115
MA_RS04925	NC_003552.1	1126372	1127007	+	636	112	91	129	39	179	177
MA_RS04930	NC_003552.1	1127122	1128429	+	1308	438	313	302	194	612	482
MA_RS04935	NC_003552.1	1128668	1129126	+	459	35543	30374	31775	30046	19411	23479
MA_RS04940	NC_003552.1	1129290	1130084	-	795	43860	40602	35052	37114	28131	34370
MA_RS04945	NC_003552.1	1130081	1131151	-	1071	57910	62436	57727	52166	43929	55485
MA_RS04950	NC_003552.1	1131170	1132378	-	1209	102828	100590	77620	82084	79025	88805
MA_RS04955	NC_003552.1	1132843	1133958	-	1116	764	526	378	279	580	551
MA_RS04960	NC_003552.1	1134014	1135282	-	1269	1177	856	622	438	948	791
MA_RS26555	NC_003552.1	1136335	1136478	+	144	1264	1158	622	392	473	569
MA_RS04965	NC_003552.1	1136515	1137348	-	834	3711	2903	2296	1765	1984	2430
MA_RS04970	NC_003552.1	1137547	1137918	-	372	1557	1419	910	703	933	1217
MA_RS25090	NC_003552.1	1138411	1142001	-	3591	51221	36462	22571	15880	26240	29085
MA_RS04980	NC_003552.1	1142634	1143449	+	816	6943	6296	5987	5250	4605	5138
MA_RS04985	NC_003552.1	1143764	1144678	+	915	8245	7276	6650	5674	3519	4217
MA_RS24380	NC_003552.1	1145129	1146589	-	1461	4369	4727	3506	2831	3996	4592
MA_RS04995	NC_003552.1	1147403	1148272	+	870	4245	3503	2630	2454	3286	3438
MA_RS05000	NC_003552.1	1148407	1149639	-	1233	8594	5549	3178	2637	5548	5191
MA_RS05005	NC_003552.1	1149985	1150728	-	744	6138	3964	2811	2298	5624	4151
MA_RS05015	NC_003552.1	1151312	1151746	+	435	14743	13403	6078	5275	12610	13444
MA_RS05020	NC_003552.1	1152290	1152682	+	393	2269	1441	1424	943	1617	1831
MA_RS28415	NC_003552.1	1153621	1153779	-	159	189	128	135	45	199	158
MA_RS25095	NC_003552.1	1153854	1154141	-	288	822	694	521	457	1223	1203
MA_RS05040	NC_003552.1	1154663	1155616	+	954	6627	4858	4969	3825	3015	4076
MA_RS05045	NC_003552.1	1155621	1156286	+	666	5984	5324	6173	4832	3438	4429
MA_RS24390	NC_003552.1	1157351	1159786	+	2436	7962	6908	7567	6419	5147	6532
