locus_tag,old_locus_tag,current_start_pos,gca_start,gca_extension_valid,gca_extension_check_reason,blast_best_species_hit,blast_pident,rna_step_ratio,weak_evidence_exclude
MA_RS16880,MA_3234,3996728,3996713,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.09,True
MA_RS16895,MA_3237,3999217,3999235,False,候補位置のコドンが非正準(ATT),WP_261788860.1,94.083,1.34,True
MA_RS17045,MA_3267,4032537,4032522,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.84,True
MA_RS17150,MA_3287,4056218,4056227,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171091.1,96.101,1.16,False
MA_RS17155,MA_3288,4057560,4057575,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590452.1,97.982,0.83,False
MA_RS17285,MA_3309,4082468,4082462,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048171057.1,95.843,1.03,False
MA_RS17320,MA_3315,4089772,4089913,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172787.1,94.815,0.95,False
MA_RS17430,MA_3339,4123704,4123656,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.1,True
MA_RS17435,MA_3341,4124655,4124700,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.05,True
MA_RS17480,MA_3349,4136297,4136300,True,妥当(区間にストップコドンなし、開始コドンも正準),,,2.46,True
MA_RS25820,MA_3350,4137387,4137588,True,妥当(区間にストップコドンなし、開始コドンも正準),,,2.79,True
MA_RS17490,MA_3351,4138378,4138507,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.41,True
MA_RS17520,MA_3356,4144834,4144846,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.84,True
MA_RS17535,MA_3359,4148698,4148665,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_011034000.1,48.266,0.59,False
MA_RS17560,MA_3365,4153088,4153235,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172654.1,90.099,1.47,False
MA_RS17695,MA_3391,4192845,4192866,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173101.1,93.333,0.93,False
MA_RS17835,MA_3415,4221142,4220974,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172295.1,86.818,2.13,False
MA_RS17840,MA_3416,4222013,4221908,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048172299.1,99.015,1.1,False
MA_RS17860,MA_3420,4226798,4226765,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048138432.1,91.919,1.28,False
MA_RS17945,MA_3438,4243091,4243088,False,候補位置のコドンが非正準(CTG),WP_048172405.1,91.964,1.0,True
MA_RS27410,MA_3442,4246960,4247182,False,候補位置のコドンが非正準(CTG),WP_082088963.1,90.141,1.37,True
MA_RS17975,MA_3443,4248370,4248337,True,妥当(区間にストップコドンなし、開始コドンも正準),,,12.27,True
MA_RS17980,MA_3444,4249381,4249375,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.35,True
MA_RS17995,MA_3446,4252153,4252123,False,候補位置のコドンが非正準(CTG),WP_048171462.1,95.429,1.21,True
MA_RS18040,MA_3454,4262825,4262864,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048140215.1,88.492,0.85,False
MA_RS18075,MA_3460,4270346,4270400,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.52,True
MA_RS18210,MA_3484,4310972,4310843,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589848.1,90.173,1.2,False
MA_RS27435,MA_3521,4356870,4356852,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.11,True
MA_RS18405,MA_3523,4358028,4357953,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.63,True
MA_RS18420,MA_3526,4361743,4361698,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170757.1,87.109,1.12,False
MA_RS18485,MA_3539,4374398,4374404,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170856.1,89.349,0.85,False
MA_RS18540,MA_3550,4388484,4388466,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170629.1,95.96,1.17,False
MA_RS18615,MA_3565,4409022,4409025,False,候補位置のコドンが非正準(CTG),WP_048137903.1,93.506,1.22,True
MA_RS18620,MA_3566,4410110,4410107,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170668.1,97.033,22.4,False
MA_RS27455,MA_3571,4412954,4412909,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.73,True
MA_RS25900,MA_3578,4419809,4419917,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048170694.1,49.038,0.86,False
MA_RS18685,MA_3582,4422810,4422816,False,候補位置のコドンが非正準(ATA),WP_048174538.1,99.119,0.85,True
MA_RS18750,MA_3594,4436002,4436008,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082088895.1,95.918,6.06,False
MA_RS18865,MA_3618,4463411,4463375,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173417.1,84.793,1.73,False
MA_RS25905,MA_3620,4464896,4464650,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089237.1,91.124,0.73,False
MA_RS18885,MA_3622,4467848,4467632,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173413.1,96.471,1.6,False
MA_RS18980,MA_3641,4488896,4488983,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173395.1,98.315,1.18,False
MA_RS19105,MA_3665,4520309,4520246,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048168177.1,27.671,1.05,False
MA_RS19130,MA_3670,4527129,4527093,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048041809.1,26.198,0.73,False
MA_RS19170,MA_3678,4534112,4534241,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173594.1,95.131,0.86,False
MA_RS19255,MA_3696,4551631,4551616,False,候補位置のコドンが非正準(CTG),WP_011032551.1,100.0,0.94,True
MA_RS19300,MA_3704,4580938,4580986,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173611.1,92.745,3.13,False
MA_RS19370,MA_3717,4597864,4597873,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048173623.1,93.293,1.05,False
MA_RS19400,MA_3723,4602144,4602189,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589937.1,93.291,1.7,False
MA_RS19470,MA_3735,4611915,4611897,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048065787.1,100.0,1.13,False
MA_RS19485,MA_3739,4613372,4613540,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_052721703.1,94.53,0.98,False
MA_RS19490,MA_3740,4614881,4614905,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173644.1,93.013,1.22,False
MA_RS19760,MA_3793,4680469,4680433,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197080379.1,98.182,1.21,False
MA_RS19800,MA_3801,4688572,4688680,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.03,True
MA_RS19810,MA_3802,4689695,4689704,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.1,True
MA_RS19815,MA_3803,4690095,4690077,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,1.44,True
MA_RS24815,MA_3805,4692974,4692983,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.78,True
MA_RS19840,MA_3808,4694595,4694574,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,0.9,True
MA_RS19855,MA_3811,4695650,4695680,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.46,True
MA_RS19870,MA_3814,4697530,4697539,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.16,True
MA_RS19885,MA_3817,4699176,4699191,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.25,True
MA_RS19890,MA_3818,4699859,4699799,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,0.75,True
MA_RS19940,MA_3827,4708795,4708804,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.8,True
MA_RS19950,MA_3829,4711473,4711506,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048142015.1,58.96,0.93,False
MA_RS19955,MA_3830,4711948,4711891,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,,,0.66,True
MA_RS19980,MA_3835,4715053,4715062,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.22,True
MA_RS26015,MA_3844,4725631,4725592,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.85,True
MA_RS20175,MA_3868,4752717,4752696,False,候補位置のコドンが非正準(ATT),WP_048173700.1,92.887,1.2,True
MA_RS20210,MA_3875,4760772,4760748,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173706.1,93.427,1.41,False
MA_RS20300,MA_3889,4782554,4782635,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173720.1,94.788,1.6,False
MA_RS20385,MA_3905,4801166,4801160,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048173733.1,96.78,1.25,False
MA_RS20450,MA_3917,4815571,4815556,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048173744.1,96.222,0.86,False
MA_RS20480,MA_3923,4822742,4822733,True,妥当(区間にストップコドンなし、開始コドンも正準),,,2.01,True
MA_RS29025,MA_3930,4828629,4828578,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_082089056.1,89.372,1.11,False
MA_RS20670,MA_3961,4859010,4859112,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197080296.1,93.069,0.94,False
MA_RS20675,MA_3962,4861925,4861673,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_394296918.1,93.028,0.9,False
MA_RS20740,MA_3975,4877571,4876674,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231589957.1,95.398,1.07,False
MA_RS20745,MA_3976,4879279,4879225,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048173784.1,92.912,1.14,False
MA_RS20765,MA_3980,4884971,4884998,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.92,True
MA_RS20805,MA_3988,4893206,4893179,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_394297487.1,50.0,2.21,False
MA_RS20845,MA_3995,4901059,4901068,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048175040.1,93.413,1.3,False
MA_RS20955,MA_4016,4929267,4929120,False,候補位置のコドンが非正準(ATC),WP_231589960.1,88.557,0.83,True
MA_RS21065,MA_4035,4953092,4952909,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589974.1,95.703,3.17,False
MA_RS21070,MA_4036,4954365,4954371,False,候補位置のコドンが非正準(ATT),WP_261789152.1,95.114,1.3,True
MA_RS21125,MA_4047,4964806,4964851,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173839.1,85.99,1.02,False
MA_RS21140,MA_4050,4969622,4969583,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173841.1,98.024,0.75,False
MA_RS21240,MA_4070,4989218,4989248,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173858.1,98.165,1.32,False
MA_RS21275,MA_4077,4996134,4995855,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_197080300.1,97.77,1.27,False
MA_RS21280,MA_4078,4998629,4998575,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173991.1,90.264,0.8,False
MA_RS21340,MA_4089,5012185,5012218,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173979.1,95.902,1.09,False
MA_RS21410,MA_4103,5027116,5027110,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_261789154.1,98.643,1.08,False
MA_RS21535,MA_4128,5045450,5045465,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.25,True
MA_RS21630,MA_4147,5062220,5062247,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173955.1,94.291,2.04,False
MA_RS21745,MA_4166,5086340,5086373,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590002.1,96.264,0.42,False
MA_RS21780,MA_4173,5096138,5096189,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048123708.1,80.165,1.14,False
MA_RS21795,MA_4176,5100180,5100237,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048175075.1,98.611,1.3,False
MA_RS21865,MA_4189,5114839,5114797,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_329957000.1,90.761,1.19,False
MA_RS21965,MA_4208,5132369,5132378,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173911.1,97.391,1.3,False
MA_RS22070,MA_4226,5149194,5149329,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231589986.1,93.75,1.15,False
MA_RS22100,MA_4232,5156819,5156792,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173898.1,93.955,2.76,False
MA_RS22345,MA_4281,5202388,5202391,True,妥当(区間にストップコドンなし、開始コドンも正準),,,0.91,True
MA_RS22365,MA_4284,5208153,5208168,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048173993.1,91.652,0.84,False
MA_RS22455,MA_4301,5273285,5273339,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_231590037.1,93.251,1.78,False
MA_RS22720,MA_4347,5353314,5353206,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_232316218.1,79.439,0.69,False
MA_RS23045,MA_4408,5442559,5442553,False,候補位置のコドンが非正準(ATT),WP_048174097.1,99.153,5.22,True
MA_RS23050,MA_4409,5442924,5442900,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_187151821.1,98.537,1.01,False
MA_RS23060,MA_4411,5448121,5448175,True,妥当(区間にストップコドンなし、開始コドンも正準),,,1.26,True
MA_RS23120,MA_4424,5469998,5469938,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048169468.1,41.971,1.31,False
MA_RS23320,MA_4466,5517084,5517015,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174231.1,96.564,1.01,False
MA_RS29120,MA_4468,5518498,5518639,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_204245369.1,58.523,0.81,False
MA_RS23390,MA_4482,5531544,5531469,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_232316163.1,79.839,1.11,False
MA_RS23420,MA_4488,5535531,5535558,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174319.1,93.137,0.96,False
MA_RS23425,MA_4489,5536163,5536175,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048136700.1,53.465,0.97,False
MA_RS23470,MA_4499,5542381,5542444,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174313.1,61.803,1.07,False
MA_RS23625,MA_4531,5579431,5579089,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174286.1,93.333,1.46,False
MA_RS23630,MA_4532,5580386,5580380,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174285.1,98.462,0.98,False
MA_RS23795,MA_4564,5625952,5626000,False,候補位置のコドンが非正準(ATA),WP_082089087.1,93.478,1.25,True
MA_RS23800,MA_4565,5626458,5626488,True,妥当(区間にストップコドンなし、開始コドンも正準),,,17.3,True
MA_RS23820,MA_4569,5629541,5629529,True,GCA提案がGCFより下流(短縮方向)のため区間チェック対象外,WP_048174250.1,95.785,0.89,False
MA_RS23870,MA_4578,5641071,5641101,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174240.1,60.518,0.94,False
MA_RS24000,MA_4599,5676449,5676455,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048169016.1,97.81,1.12,False
MA_RS24010,MA_4601,5679218,5679245,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_231590222.1,95.883,1.19,False
MA_RS24100,MA_4618,5699337,5698953,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048174389.1,95.277,1.23,False
MA_RS24160,MA_4630,5714019,5714028,True,妥当(区間にストップコドンなし、開始コドンも正準),WP_048168982.1,95.561,1.01,False
MA_RS24175,MA_4633,5717720,5717717,False,候補位置のコドンが非正準(ATT),WP_080503104.1,94.886,1.2,True
