locus_tag,old_locus_tag,current_start_pos,single_evidence_source,single_evidence_pos,gca_start,gca_agrees_with,revised_confidence
MA_RS05875,MA_1128,1335895,BLAST,1335913,1335913,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05890,MA_1131,1339430,BLAST,1339421,1339451,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS05900,MA_1133,1342183,BLAST,1342198,1342198,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS05930,MA_1139,1347132,BLAST,1347165,1347165,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06020,MA_1156,1371111,BLAST,1371099,1371099,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06065,MA_1165,1382947,BLAST,1382953,1382953,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06080,MA_1168,1385749,BLAST,1385758,1385758,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06095,MA_1171,1388704,BLAST,1388653,1388653,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06100,MA_1172,1392905,BLAST,1392914,1392914,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06105,MA_1173,1394033,BLAST,1394042,1394042,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24405,MA_1178,1398528,BLAST,1398522,1398558,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06135,MA_1179,1399970,BLAST,1399961,1399955,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06205,MA_1193,1421117,BLAST,1421108,1421108,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06210,MA_1194,1422102,BLAST,1422069,1421985,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06215,MA_1195,1425149,BLAST,1425227,1425227,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06225,MA_1197,1428312,BLAST,1428327,1428396,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06245,MA_1200,1431478,BLAST,1431637,1431637,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06340,MA_1219,1451365,BLAST,1451326,1451326,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06345,MA_1220,1452879,BLAST,1452846,1452846,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06365,MA_1224,1457748,BLAST,1457757,1457757,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06390,MA_1229,1462519,BLAST,1462627,1462627,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06410,MA_1233,1467116,BLAST,1467215,1467101,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06440,MA_1239,1473314,BLAST,1473359,1473359,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06470,MA_1246,1485273,BLAST,1485300,1485300,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06540,MA_1261,1501643,BLAST,1501652,1501652,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06625,MA_1276,1529509,BLAST,1529539,1529539,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06640,MA_1279,1532600,BLAST,1532705,1532642,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06645,MA_1280,1534015,BLAST,1534045,1534045,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06655,MA_1282,1536571,BLAST,1536577,1536577,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06670,MA_1285,1539406,BLAST,1539280,1539280,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06690,MA_1289,1543709,BLAST,1543700,1543700,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06700,MA_1291,1546595,BLAST,1546586,1546586,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06720,MA_1295,1553631,BLAST,1553607,1553607,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06775,MA_1307,1566811,BLAST,1566973,1566787,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06800,MA_1313,1574242,BLAST,1574125,1574095,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06845,MA_1321,1585299,BLAST,1585332,1585332,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06865,MA_1323,1590819,BLAST,1590798,1590798,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06890,MA_1328,1595636,BLAST,1595612,1595612,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06965,MA_1343,1609739,BLAST,1609652,1609676,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS06970,MA_1344,1610154,BLAST,1610103,1610103,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06990,MA_1347,1615914,BLAST,1615842,1615842,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS06995,MA_1348,1617034,BLAST,1617037,1617037,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07055,MA_1357,1626327,BLAST,1626315,1626315,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07075,MA_1362,1631797,BLAST,1631803,1631803,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07100,MA_1367,1635794,BLAST,1635785,1635833,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07105,MA_1368,1637338,BLAST,1637368,1637368,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07120,MA_1371,1638685,BLAST,1638664,1638664,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07135,MA_1374,1641232,BLAST,1641226,1641226,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07150,MA_1378,1645009,BLAST,1645108,1645123,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07175,MA_1383,1649388,BLAST,1649379,1649379,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07180,MA_1384,1650249,BLAST,1650213,1650213,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07195,MA_1388,1653968,BLAST,1653983,1653893,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07200,MA_1389,1654362,BLAST,1654353,1654596,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07225,MA_1394,1661032,BLAST,1661062,1661062,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07240,MA_1397,1663504,BLAST,1663498,1663498,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07255,MA_1400,1667076,BLAST,1667082,1667082,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07285,MA_1404,1671283,BLAST,1671280,1671280,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07305,MA_1408,1674572,BLAST,1674455,1674455,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07335,MA_1414,1681265,BLAST,1681253,1681253,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07350,MA_1416,1683542,BLAST,1683806,1683806,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07355,MA_1417,1683955,BLAST,1683943,1683943,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07365,MA_1419,1686066,BLAST,1686042,1686042,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07410,MA_1427,1697741,BLAST,1697777,1697777,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07415,MA_1428,1698671,BLAST,1698680,1698680,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07420,MA_1429,1699739,BLAST,1699760,1699760,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07435,MA_1432,1702182,BLAST,1702203,1702203,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07445,MA_1433,1703824,BLAST,1703836,1703836,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07495,MA_1442,1712896,BLAST,1712902,1712752,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07545,MA_1454,1721996,BLAST,1721954,1721954,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07605,MA_1466,1732985,BLAST,1732907,1732907,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07710,MA_1485,1757431,BLAST,1757518,1757518,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07715,MA_1486,1759494,BLAST,1759521,1759521,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07730,MA_1489,1762424,BLAST,1762433,1762490,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS07750,MA_1493,1766105,BLAST,1766114,1766114,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS29335,MA_1502,1771635,BLAST,1771593,1771626,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS24435,MA_1508,1778369,BLAST,1778318,1778297,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS25205,MA_1509,1780861,BLAST,1780852,1780852,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24440,MA_1510,1781592,BLAST,1781526,1781526,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07850,MA_1512,1789391,BLAST,1789463,1789463,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07855,MA_1513,1789942,BLAST,1789903,1789903,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07885,MA_1518,1798231,BLAST,1798234,1798234,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07890,MA_1519,1798744,BLAST,1798714,1798714,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07905,MA_1522,1801698,BLAST,1801689,1801689,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07915,MA_1524,1802166,BLAST,1802160,1802160,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07920,MA_1525,1802751,BLAST,1802733,1802733,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS07935,MA_1528,1806410,BLAST,1806602,1806602,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08005,MA_1540,1822070,BLAST,1822109,1822109,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08015,MA_1543,1824301,BLAST,1824289,1824289,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08040,MA_1548,1831765,BLAST,1831786,1831735,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS08055,MA_1552,1835329,BLAST,1835392,1835392,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08135,MA_1565,1854280,RNA-seq,1854316,1854316,RNA-seqと一致,高確信度相当(格上げ): RNA-seq+GCA旧アノテーションの2系統一致
MA_RS08145,MA_1567,1856569,BLAST,1856725,1856725,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08155,MA_1569,1860430,BLAST,1860535,1860535,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08180,MA_1574,1866321,BLAST,1866339,1866339,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08255,MA_1589,1889323,BLAST,1889332,1889332,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08260,MA_1590,1890808,BLAST,1890838,1890838,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08300,MA_1597,1897370,BLAST,1897358,1897358,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08385,MA_1614,1923295,BLAST,1923358,1923358,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08450,MA_1627,1941145,BLAST,1941097,1941097,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08455,MA_1628,1944036,BLAST,1944006,1944048,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS08465,MA_1630,1948725,BLAST,1948680,1948680,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08470,MA_1631,1952419,BLAST,1952407,1952407,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08475,MA_1632,1953827,BLAST,1953779,1953851,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS08495,MA_1636,1959341,BLAST,1959362,1959362,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08510,MA_1640,1964540,BLAST,1964558,1964558,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08535,MA_1646,1973020,BLAST,1973002,1973002,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24460,MA_1660,1992185,BLAST,1992098,1992098,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08645,MA_1667,2001638,BLAST,2001515,2001515,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08660,MA_1670,2004011,BLAST,2003999,2003999,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08685,MA_1675,2010233,BLAST,2010239,2010239,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08700,MA_1678,2013419,BLAST,2013404,2013404,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08735,MA_1685,2022308,BLAST,2022284,2022284,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08770,MA_1690,2029327,BLAST,2029372,2029372,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08805,MA_1696,2034436,BLAST,2034553,2034553,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08835,MA_1701,2039855,BLAST,2039813,2039813,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08870,MA_1709,2048732,BLAST,2048705,2048705,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08900,MA_1714,2056438,BLAST,2056561,2056561,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08935,MA_1722,2063894,BLAST,2063777,2063777,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS08950,MA_1724,2068408,BLAST,2068396,2068396,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09015,MA_1736,2082495,BLAST,2082408,2082408,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09030,MA_1739,2089254,BLAST,2089290,2089290,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09055,MA_1744,2096298,BLAST,2096295,2096295,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09080,MA_1749,2103844,BLAST,2103868,2103868,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09090,MA_1751,2106255,BLAST,2106234,2106234,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09105,MA_1754,2117077,BLAST,2117083,2117083,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09135,MA_1758,2127875,BLAST,2127890,2127890,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24475,MA_1764,2155154,BLAST,2155169,2155169,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS28540,MA_1766,2161430,BLAST,2161466,2161466,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09185,MA_1768,2170228,BLAST,2170234,2170234,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09195,MA_1769,2174655,BLAST,2174685,2174685,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09205,MA_1771,2176199,BLAST,2176241,2176241,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09220,MA_1774,2179415,BLAST,2179355,2179355,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09275,MA_1785,2190122,BLAST,2190110,2190191,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS09310,MA_1791,2202583,BLAST,2202586,2202586,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09380,MA_1804,2219534,BLAST,2219564,2219564,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09390,MA_1806,2221239,BLAST,2221371,2221224,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS09415,MA_1810,2224422,BLAST,2224407,2224407,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09455,MA_1816,2235047,BLAST,2235023,2235023,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09505,MA_1827,2245699,BLAST,2245744,2245744,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09515,MA_1829,2248670,BLAST,2248622,2248700,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS09545,MA_1834,2255127,BLAST,2255136,2255136,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09565,MA_1837,2258170,BLAST,2258164,2258164,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09585,MA_1840,2268239,BLAST,2268323,2268323,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09655,MA_1851,2283137,BLAST,2283266,2283266,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09670,MA_1853,2284809,BLAST,2284830,2284830,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09675,MA_1854,2286323,BLAST,2286320,2286320,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09695,MA_1858,2290647,BLAST,2290572,2290572,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09710,MA_1861,2294660,BLAST,2294630,2294630,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09745,MA_1868,2305713,BLAST,2305842,2305842,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09910,MA_1901,2341803,BLAST,2341794,2341794,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09915,MA_1902,2343944,BLAST,2343983,2343983,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS09925,MA_1904,2352052,BLAST,2352145,2352145,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24515,MA_1920,2373553,BLAST,2373562,2373562,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10040,MA_1926,2377891,BLAST,2377882,2377882,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10095,MA_1938,2394924,BLAST,2394786,2394873,RNA-seqと一致,中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS10170,MA_1950,2410466,BLAST,2410451,2410451,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10175,MA_1951,2413065,BLAST,2413179,2413179,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10220,MA_1961,2425154,BLAST,2425190,2425136,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS10235,MA_1964,2427945,BLAST,2427960,2427960,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10260,MA_1969,2434565,BLAST,2434658,2434658,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10265,MA_1970,2435926,BLAST,2435929,2435929,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10275,MA_1972,2437172,BLAST,2437163,2437163,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10305,MA_1978,2447102,BLAST,2447105,2447105,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10330,MA_1983,2454303,BLAST,2454291,2454291,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10335,MA_1984,2454831,BLAST,2454801,2454801,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10340,MA_1985,2456933,BLAST,2456945,2456945,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24525,MA_1991,2468424,BLAST,2468460,2468460,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10380,MA_1993,2469807,BLAST,2469834,2469834,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10400,MA_1997,2473620,BLAST,2473596,2473596,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10425,MA_2002,2483259,BLAST,2483253,2483265,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS10440,MA_2005,2486764,BLAST,2486716,2486731,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS28195,MA_2006,2488752,BLAST,2488758,2488758,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24535,MA_2017,2506369,BLAST,2506381,2506285,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS10505,MA_2019,2508275,BLAST,2508326,2508326,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10515,MA_2021,2511102,BLAST,2511171,2511171,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10525,MA_2023,2513521,RNA-seq,2513443,2513437,いずれとも異なる(第3の候補),中確信度: 上流への延長の可能性(片方の証拠のみ)
MA_RS10640,MA_2044,2534476,BLAST,2534485,2534485,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10645,MA_2045,2541131,BLAST,2541140,2541140,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10720,MA_2061,2555964,BLAST,2555931,2555931,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10745,MA_2067,2560580,BLAST,2560562,2560562,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS24555,MA_2075,2568427,BLAST,2568418,2568418,BLAST・RNA-seq両方と一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
MA_RS10795,MA_2078,2573860,BLAST,2573878,2573878,BLASTと一致,高確信度相当(格上げ): BLAST+GCA旧アノテーションの2系統一致
