locus_tag,old_locus_tag,old_locus_tag_all,gene_name,gene_biotype,seqid,start,end,strand
MA_RS06625,MA1276,"MA1276,MA_1276",MA_RS06625,protein_coding,NC_003552.1,1528211,1529509,-
MA_RS06630,MA1277,"MA1277,MA_1277",MA_RS06630,protein_coding,NC_003552.1,1530030,1530674,-
MA_RS06635,MA1278,"MA1278,MA_1278",MA_RS06635,protein_coding,NC_003552.1,1530677,1531438,-
MA_RS06640,MA1279,"MA1279,MA_1279",MA_RS06640,protein_coding,NC_003552.1,1531674,1532600,-
MA_RS06645,MA1280,"MA1280,MA_1280",coaBC,protein_coding,NC_003552.1,1532750,1534015,-
MA_RS06650,MA1281,"MA1281,MA_1281",MA_RS06650,protein_coding,NC_003552.1,1534612,1535655,+
MA_RS06655,MA1282,"MA1282,MA_1282",MA_RS06655,protein_coding,NC_003552.1,1535855,1536571,-
MA_RS06660,MA1283,"MA1283,MA_1283",MA_RS06660,protein_coding,NC_003552.1,1536969,1537439,+
MA_RS06665,MA1284,"MA1284,MA_1284",MA_RS06665,protein_coding,NC_003552.1,1538199,1539218,+
MA_RS06670,MA1285,"MA1285,MA_1285",MA_RS06670,protein_coding,NC_003552.1,1539406,1539702,+
MA_RS06675,MA1286,"MA1286,MA_1286",MA_RS06675,protein_coding,NC_003552.1,1540190,1541863,+
MA_RS06680,MA1287,"MA1287,MA_1287",MA_RS06680,protein_coding,NC_003552.1,1541867,1542160,-
MA_RS06685,MA1288,"MA1288,MA_1288",MA_RS06685,protein_coding,NC_003552.1,1542668,1543486,+
MA_RS06690,MA1289,"MA1289,MA_1289",MA_RS06690,protein_coding,NC_003552.1,1543709,1544356,+
MA_RS06695,MA1290,"MA1290,MA_1290",MA_RS06695,protein_coding,NC_003552.1,1544708,1546369,+
MA_RS06700,MA1291,"MA1291,MA_1291",MA_RS06700,protein_coding,NC_003552.1,1546595,1547242,+
MA_RS28475,MA_1292,MA_1292,MA_RS28475,protein_coding,NC_003552.1,1547653,1550526,+
MA_RS06710,MA1293,"MA1293,MA_1293",MA_RS06710,protein_coding,NC_003552.1,1550911,1552977,+
MA_RS28480,MA_1294,MA_1294,MA_RS28480,protein_coding,NC_003552.1,1552974,1553183,+
MA_RS06720,MA1295,"MA1295,MA_1295",MA_RS06720,protein_coding,NC_003552.1,1553631,1553927,+
MA_RS06725,MA1296,"MA1296,MA_1296",MA_RS06725,protein_coding,NC_003552.1,1553924,1554274,+
MA_RS29745,,,MA_RS29745,protein_coding,NC_003552.1,1554258,1554431,-
MA_RS29315,MA_1297,MA_1297,MA_RS29315,protein_coding,NC_003552.1,1554394,1554636,-
MA_RS06735,MA1298,"MA1298,MA_1298",MA_RS06735,protein_coding,NC_003552.1,1554701,1556638,-
MA_RS06740,MA1299,"MA1299,MA_1299",MA_RS06740,protein_coding,NC_003552.1,1556659,1559493,-
MA_RS26640,MA_1301,MA_1301,MA_RS26640,protein_coding,NC_003552.1,1560795,1561019,-
MA_RS06750,MA1302,"MA1302,MA_1302",MA_RS06750,protein_coding,NC_003552.1,1561216,1562556,-
MA_RS06755,MA1303,"MA1303,MA_1303",MA_RS06755,protein_coding,NC_003552.1,1562845,1563189,-
MA_RS06760,MA1304,"MA1304,MA_1304",MA_RS06760,protein_coding,NC_003552.1,1563240,1563626,+
MA_RS06765,MA1305,"MA1305,MA_1305",MA_RS06765,protein_coding,NC_003552.1,1564027,1564323,+
MA_RS29750,,,MA_RS29750,protein_coding,NC_003552.1,1564461,1564898,-
MA_RS28490,,,MA_RS28490,protein_coding,NC_003552.1,1564844,1565479,-
MA_RS06775,MA1307,"MA1307,MA_1307",MA_RS06775,protein_coding,NC_003552.1,1565627,1566811,-
MA_RS06780,MA1308,"MA1308,MA_1308",MA_RS06780,protein_coding,NC_003552.1,1566985,1567677,+
MA_RS06785,MA1309,"MA1309,MA_1309",cooS,protein_coding,NC_003552.1,1567838,1569739,-
MA_RS06790,MA1310,"MA1310,MA_1310",MA_RS06790,protein_coding,NC_003552.1,1570206,1571996,-
MA_RS06795,MA1312,"MA1312,MA_1312",larA,protein_coding,NC_003552.1,1572857,1574119,+
MA_RS06800,MA1313,"MA1313,MA_1313",larA,protein_coding,NC_003552.1,1574242,1575501,+
MA_RS25165,,,MA_RS25165,protein_coding,NC_003552.1,1575589,1576271,-
MA_RS06815,MA1316,"MA1316,MA_1316",MA_RS06815,protein_coding,NC_003552.1,1577215,1578873,-
MA_RS28075,,,MA_RS28075,protein_coding,NC_003552.1,1578990,1579148,-
MA_RS06820,,,MA_RS06820,protein_coding,NC_003552.1,1579288,1579488,-
MA_RS06825,MA1317,"MA1317,MA_1317",gatD,protein_coding,NC_003552.1,1579636,1580910,-
MA_RS06830,MA1318,"MA1318,MA_1318",argH,protein_coding,NC_003552.1,1581178,1582653,-
MA_RS06835,MA1319,"MA1319,MA_1319",MA_RS06835,protein_coding,NC_003552.1,1583090,1583689,+
MA_RS06840,MA1320,"MA1320,MA_1320",MA_RS06840,protein_coding,NC_003552.1,1583735,1584163,+
MA_RS06845,MA1321,"MA1321,MA_1321",MA_RS06845,protein_coding,NC_003552.1,1584523,1585299,-
MA_RS06850,MA1322,"MA1322,MA_1322",MA_RS06850,protein_coding,NC_003552.1,1585806,1590092,-
MA_RS06865,MA1323,"MA1323,MA_1323",MA_RS06865,protein_coding,NC_003552.1,1590819,1591013,+
MA_RS06870,MA1324,"MA1324,MA_1324",MA_RS06870,protein_coding,NC_003552.1,1591408,1592343,-
MA_RS06875,MA1325,"MA1325,MA_1325",MA_RS06875,protein_coding,NC_003552.1,1592549,1594204,+
MA_RS06880,MA1326,"MA1326,MA_1326",MA_RS06880,protein_coding,NC_003552.1,1594327,1594566,+
MA_RS06885,MA1327,"MA1327,MA_1327",MA_RS06885,protein_coding,NC_003552.1,1594806,1595054,+
MA_RS06890,MA1328,"MA1328,MA_1328",MA_RS06890,protein_coding,NC_003552.1,1595636,1596931,+
MA_RS06895,MA1329,"MA1329,MA_1329",MA_RS06895,protein_coding,NC_003552.1,1597310,1597555,-
MA_RS25175,MA_1330,MA_1330,MA_RS25175,protein_coding,NC_003552.1,1597712,1597981,+
MA_RS06905,MA1331,"MA1331,MA_1331",MA_RS06905,protein_coding,NC_003552.1,1598187,1598918,-
MA_RS24415,MA_1332,MA_1332,MA_RS24415,protein_coding,NC_003552.1,1599389,1600294,+
MA_RS06915,MA1333,"MA1333,MA_1333",MA_RS06915,protein_coding,NC_003552.1,1600296,1600613,+
MA_RS29320,,,MA_RS29320,protein_coding,NC_003552.1,1600620,1600751,+
MA_RS25180,,,MA_RS25180,protein_coding,NC_003552.1,1600834,1600983,+
MA_RS26655,,,MA_RS26655,protein_coding,NC_003552.1,1600995,1601150,+
MA_RS06920,MA1334,"MA1334,MA_1334",MA_RS06920,protein_coding,NC_003552.1,1601147,1602106,+
MA_RS06925,MA1335,"MA1335,MA_1335",MA_RS06925,protein_coding,NC_003552.1,1602118,1602348,+
MA_RS25185,MA_1336,MA_1336,MA_RS25185,protein_coding,NC_003552.1,1602564,1602869,+
MA_RS25190,MA_1337,MA_1337,MA_RS25190,protein_coding,NC_003552.1,1602931,1603122,+
MA_RS06940,MA1338,"MA1338,MA_1338",MA_RS06940,protein_coding,NC_003552.1,1603305,1603502,+
MA_RS06945,MA1339,"MA1339,MA_1339",MA_RS06945,protein_coding,NC_003552.1,1603783,1604124,-
MA_RS06950,MA1340,"MA1340,MA_1340",MA_RS06950,protein_coding,NC_003552.1,1604273,1605037,+
MA_RS06955,MA1341,"MA1341,MA_1341",MA_RS06955,protein_coding,NC_003552.1,1605346,1605999,+
MA_RS06960,MA1342,"MA1342,MA_1342",MA_RS06960,protein_coding,NC_003552.1,1606602,1609550,+
MA_RS06965,MA1343,"MA1343,MA_1343",MA_RS06965,protein_coding,NC_003552.1,1609739,1609993,+
MA_RS06970,MA1344,"MA1344,MA_1344",MA_RS06970,protein_coding,NC_003552.1,1610154,1610348,+
MA_RS26660,,,MA_RS26660,protein_coding,NC_003552.1,1610427,1610582,+
MA_RS06975,MA1345,"MA1345,MA_1345",MA_RS06975,protein_coding,NC_003552.1,1611199,1613214,-
MA_RS06980,MA1346,"MA1346,MA_1346",MA_RS06980,protein_coding,NC_003552.1,1613275,1614606,-
MA_RS06985,,,MA_RS06985,protein_coding,NC_003552.1,1614693,1614875,-
MA_RS06990,MA1347,"MA1347,MA_1347",MA_RS06990,protein_coding,NC_003552.1,1615914,1616597,+
MA_RS06995,MA1348,"MA1348,MA_1348",MA_RS06995,protein_coding,NC_003552.1,1616708,1617034,-
MA_RS07000,,,MA_RS07000,protein_coding,NC_003552.1,1617611,1617835,+
MA_RS07005,MA1350,"MA1350,MA_1350",MA_RS07005,protein_coding,NC_003552.1,1618145,1618366,+
MA_RS07010,MA1351,"MA1351,MA_1351",eif1A,protein_coding,NC_003552.1,1618984,1619301,+
MA_RS07015,,,MA_RS07015,protein_coding,NC_003552.1,1619352,1619540,-
MA_RS07020,,,MA_RS07020,protein_coding,NC_003552.1,1619802,1619990,+
MA_RS07025,,,MA_RS07025,protein_coding,NC_003552.1,1620268,1620468,+
MA_RS07030,MA1353,"MA1353,MA_1353",eif1A,protein_coding,NC_003552.1,1621343,1621675,+
MA_RS07040,MA1354,"MA1354,MA_1354",MA_RS07040,protein_coding,NC_003552.1,1621909,1623543,-
MA_RS07045,MA1355,"MA1355,MA_1355",MA_RS07045,protein_coding,NC_003552.1,1623759,1625123,-
MA_RS24425,MA_1356,MA_1356,MA_RS24425,protein_coding,NC_003552.1,1625372,1625797,+
MA_RS07055,MA1357,"MA1357,MA_1357",MA_RS07055,protein_coding,NC_003552.1,1626327,1626758,+
MA_RS28495,MA_1358,MA_1358,MA_RS28495,protein_coding,NC_003552.1,1627226,1627993,+
MA_RS26670,,,MA_RS26670,protein_coding,NC_003552.1,1628119,1628289,-
MA_RS07065,MA1360,"MA1360,MA_1360",MA_RS07065,protein_coding,NC_003552.1,1628368,1629213,+
MA_RS07070,MA1361,"MA1361,MA_1361",MA_RS07070,protein_coding,NC_003552.1,1629300,1630205,-
MA_RS07075,MA1362,"MA1362,MA_1362",MA_RS07075,protein_coding,NC_003552.1,1630601,1631797,-
MA_RS07080,MA1363,"MA1363,MA_1363",MA_RS07080,protein_coding,NC_003552.1,1632032,1632886,+
MA_RS07085,MA1364,"MA1364,MA_1364",MA_RS07085,protein_coding,NC_003552.1,1633169,1634047,-
MA_RS26675,MA_1365,MA_1365,MA_RS26675,protein_coding,NC_003552.1,1634405,1634671,-
MA_RS07090,MA1366,"MA1366,MA_1366",MA_RS07090,protein_coding,NC_003552.1,1635036,1635548,-
MA_RS07100,MA1367,"MA1367,MA_1367",MA_RS07100,protein_coding,NC_003552.1,1635794,1636075,+
MA_RS07105,MA1368,"MA1368,MA_1368",trxB,protein_coding,NC_003552.1,1636421,1637338,-
MA_RS07110,MA4683,"MA4683,MA_4683",MA_RS07110,protein_coding,NC_003552.1,1637385,1637633,-
MA_RS07115,MA1370,"MA1370,MA_1370",dph5,protein_coding,NC_003552.1,1637798,1638598,+
MA_RS07120,MA1371,"MA1371,MA_1371",MA_RS07120,protein_coding,NC_003552.1,1638685,1638966,+
MA_RS07125,MA1372,"MA1372,MA_1372",MA_RS07125,protein_coding,NC_003552.1,1639566,1639955,+
MA_RS07130,MA1373,"MA1373,MA_1373",MA_RS07130,protein_coding,NC_003552.1,1640202,1641101,+
MA_RS07135,MA1374,"MA1374,MA_1374",MA_RS07135,protein_coding,NC_003552.1,1641232,1641903,+
MA_RS07140,MA1376,"MA1376,MA_1376",MA_RS07140,protein_coding,NC_003552.1,1643428,1643823,-
MA_RS07145,MA1377,"MA1377,MA_1377",MA_RS07145,protein_coding,NC_003552.1,1643845,1644132,-
MA_RS07150,MA1378,"MA1378,MA_1378",MA_RS07150,protein_coding,NC_003552.1,1644125,1645009,-
MA_RS07155,MA1379,"MA1379,MA_1379",MA_RS07155,protein_coding,NC_003552.1,1645113,1646030,-
MA_RS07160,MA1380,"MA1380,MA_1380",MA_RS07160,protein_coding,NC_003552.1,1646304,1647284,+
MA_RS07165,MA1381,"MA1381,MA_1381",MA_RS07165,protein_coding,NC_003552.1,1648366,1649007,+
MA_RS07170,MA1382,"MA1382,MA_1382",MA_RS07170,protein_coding,NC_003552.1,1649013,1649372,+
MA_RS07175,MA1383,"MA1383,MA_1383",MA_RS07175,protein_coding,NC_003552.1,1649388,1649903,+
MA_RS07180,MA1384,"MA1384,MA_1384",hxlB,protein_coding,NC_003552.1,1650249,1650863,+
MA_RS07185,MA1385,"MA1385,MA_1385",MA_RS07185,protein_coding,NC_003552.1,1650983,1652095,+
MA_RS07195,MA1388,"MA1388,MA_1388",MA_RS07195,protein_coding,NC_003552.1,1653138,1653968,-
MA_RS07200,MA1389,"MA1389,MA_1389",MA_RS07200,protein_coding,NC_003552.1,1654362,1655273,+
MA_RS07205,MA1390,"MA1390,MA_1390",MA_RS07205,protein_coding,NC_003552.1,1655364,1656380,-
MA_RS07210,MA1391,"MA1391,MA_1391",MA_RS07210,protein_coding,NC_003552.1,1657067,1657942,+
MA_RS07215,MA1392,"MA1392,MA_1392",hisE,protein_coding,NC_003552.1,1658289,1658603,-
MA_RS07220,MA1393,"MA1393,MA_1393",MA_RS07220,protein_coding,NC_003552.1,1658678,1659940,-
MA_RS07225,MA1394,"MA1394,MA_1394",MA_RS07225,protein_coding,NC_003552.1,1660202,1661032,-
MA_RS07230,MA1395,"MA1395,MA_1395",nikR,protein_coding,NC_003552.1,1661702,1662124,+
MA_RS07235,MA1396,"MA1396,MA_1396",MA_RS07235,protein_coding,NC_003552.1,1662354,1662857,+
MA_RS07240,MA1397,"MA1397,MA_1397",MA_RS07240,protein_coding,NC_003552.1,1663504,1664679,+
MA_RS07245,MA1398,"MA1398,MA_1398",MA_RS07245,protein_coding,NC_003552.1,1664767,1665054,+
MA_RS07255,MA1400,"MA1400,MA_1400",MA_RS07255,protein_coding,NC_003552.1,1665577,1667076,-
MA_RS07260,,,MA_RS07260,protein_coding,NC_003552.1,1667771,1668133,+
MA_RS07270,,,MA_RS07270,protein_coding,NC_003552.1,1668413,1669174,+
MA_RS07275,MA1402,"MA1402,MA_1402",MA_RS07275,protein_coding,NC_003552.1,1669311,1669769,+
MA_RS07280,MA1403,"MA1403,MA_1403",MA_RS07280,protein_coding,NC_003552.1,1669947,1670669,-
MA_RS07285,MA1404,"MA1404,MA_1404",MA_RS07285,protein_coding,NC_003552.1,1671283,1671753,+
MA_RS07290,MA1405,"MA1405,MA_1405",MA_RS07290,protein_coding,NC_003552.1,1671761,1672312,+
MA_RS07295,MA1406,"MA1406,MA_1406",MA_RS07295,protein_coding,NC_003552.1,1672472,1672834,+
MA_RS26680,,,MA_RS26680,protein_coding,NC_003552.1,1673170,1673358,-
MA_RS07300,MA1407,"MA1407,MA_1407",MA_RS07300,protein_coding,NC_003552.1,1673495,1673872,-
MA_RS07305,MA1408,"MA1408,MA_1408",MA_RS07305,protein_coding,NC_003552.1,1674572,1675708,+
MA_RS07310,MA1409,"MA1409,MA_1409",mtnP,protein_coding,NC_003552.1,1675776,1676552,+
MA_RS07315,MA1410,"MA1410,MA_1410",MA_RS07315,protein_coding,NC_003552.1,1676799,1677038,-
MA_RS07320,MA1411,"MA1411,MA_1411",MA_RS07320,protein_coding,NC_003552.1,1677383,1679863,+
MA_RS07325,MA1412,"MA1412,MA_1412",MA_RS07325,protein_coding,NC_003552.1,1680032,1680433,+
MA_RS07330,MA1413,"MA1413,MA_1413",MA_RS07330,protein_coding,NC_003552.1,1681001,1681225,+
MA_RS07335,MA1414,"MA1414,MA_1414",MA_RS07335,protein_coding,NC_003552.1,1681265,1681663,+
MA_RS07340,MAt4701,MAt4701,MA_RS07340,tRNA,NC_003552.1,1681890,1681967,+
MA_RS07345,MAt4702,MAt4702,MA_RS07345,tRNA,NC_003552.1,1682346,1682423,+
MA_RS07350,MA1416,"MA1416,MA_1416",MA_RS07350,protein_coding,NC_003552.1,1682631,1683542,-
MA_RS07355,MA1417,"MA1417,MA_1417",MA_RS07355,protein_coding,NC_003552.1,1683955,1684479,+
MA_RS07360,MA1418,"MA1418,MA_1418",MA_RS07360,protein_coding,NC_003552.1,1684483,1686069,+
MA_RS07365,MA1419,"MA1419,MA_1419",MA_RS07365,protein_coding,NC_003552.1,1686066,1686848,+
MA_RS28500,MA_1420,MA_1420,MA_RS28500,protein_coding,NC_003552.1,1687192,1688910,-
MA_RS07375,MA1421,"MA1421,MA_1421",MA_RS07375,protein_coding,NC_003552.1,1689233,1689517,-
MA_RS07380,MA1422,"MA1422,MA_1422",MA_RS07380,protein_coding,NC_003552.1,1690838,1692490,-
MA_RS07385,MA1423,"MA1423,MA_1423",MA_RS07385,protein_coding,NC_003552.1,1692585,1693040,-
MA_RS07390,MA1424,"MA1424,MA_1424",MA_RS07390,protein_coding,NC_003552.1,1693148,1693726,-
MA_RS07405,MA1426,"MA1426,MA_1426",MA_RS07405,protein_coding,NC_003552.1,1695650,1696747,-
MA_RS07410,MA1427,"MA1427,MA_1427",MA_RS07410,protein_coding,NC_003552.1,1696896,1697741,-
MA_RS07415,MA1428,"MA1428,MA_1428",MA_RS07415,protein_coding,NC_003552.1,1697958,1698671,-
MA_RS07420,MA1429,"MA1429,MA_1429",MA_RS07420,protein_coding,NC_003552.1,1699059,1699739,-
MA_RS07425,MA1430,"MA1430,MA_1430",MA_RS07425,protein_coding,NC_003552.1,1700003,1700716,-
MA_RS07430,MA1431,"MA1431,MA_1431",msrA,protein_coding,NC_003552.1,1700845,1701411,-
MA_RS07435,MA1432,"MA1432,MA_1432",MA_RS07435,protein_coding,NC_003552.1,1701592,1702182,-
MA_RS07440,,,MA_RS07440,protein_coding,NC_003552.1,1702549,1702755,-
MA_RS07445,MA1433,"MA1433,MA_1433",MA_RS07445,protein_coding,NC_003552.1,1702946,1703824,-
MA_RS07450,MA1434,"MA1434,MA_1434",MA_RS07450,protein_coding,NC_003552.1,1703964,1704881,+
MA_RS07455,MA1435,"MA1435,MA_1435",MA_RS07455,protein_coding,NC_003552.1,1705213,1706412,-
MA_RS07460,MA1436,"MA1436,MA_1436",MA_RS07460,protein_coding,NC_003552.1,1706561,1707139,-
MA_RS07465,MA1437,"MA1437,MA_1437",MA_RS07465,protein_coding,NC_003552.1,1707136,1707762,-
MA_RS07480,MA1439,"MA1439,MA_1439",nudC,protein_coding,NC_003552.1,1709399,1710256,-
MA_RS07485,MA1440,"MA1440,MA_1440",MA_RS07485,protein_coding,NC_003552.1,1710456,1711064,-
MA_RS07490,MA1441,"MA1441,MA_1441",rsmA,protein_coding,NC_003552.1,1711068,1711877,-
MA_RS07495,MA1442,"MA1442,MA_1442",MA_RS07495,protein_coding,NC_003552.1,1712159,1712896,-
MA_RS07500,MA1444,"MA1444,MA_1444",MA_RS07500,protein_coding,NC_003552.1,1713255,1713608,-
MA_RS07505,MA1446,"MA1446,MA_1446",MA_RS07505,protein_coding,NC_003552.1,1714066,1714359,-
MA_RS07510,MA1447,"MA1447,MA_1447",MA_RS07510,protein_coding,NC_003552.1,1714593,1715888,-
MA_RS07515,MA1448,"MA1448,MA_1448",trmY,protein_coding,NC_003552.1,1716241,1716876,-
MA_RS07520,MA1449,"MA1449,MA_1449",MA_RS07520,protein_coding,NC_003552.1,1717100,1717756,+
MA_RS07525,MA1450,"MA1450,MA_1450",MA_RS07525,protein_coding,NC_003552.1,1718222,1719463,+
MA_RS07530,,,MA_RS07530,protein_coding,NC_003552.1,1719626,1719805,+
MA_RS29325,,,MA_RS29325,protein_coding,NC_003552.1,1720022,1720144,+
MA_RS07535,MA1452,"MA1452,MA_1452",MA_RS07535,protein_coding,NC_003552.1,1720200,1720439,+
MA_RS07540,,,MA_RS07540,protein_coding,NC_003552.1,1721040,1721573,+
MA_RS07545,MA1454,"MA1454,MA_1454",MA_RS07545,protein_coding,NC_003552.1,1721996,1722649,+
MA_RS07550,MA1455,"MA1455,MA_1455",MA_RS07550,protein_coding,NC_003552.1,1722674,1723840,+
MA_RS07555,MA1456,"MA1456,MA_1456",MA_RS07555,protein_coding,NC_003552.1,1723965,1724627,+
MA_RS07560,MA1457,"MA1457,MA_1457",MA_RS07560,protein_coding,NC_003552.1,1724667,1725362,+
MA_RS07565,MA1458,"MA1458,MA_1458",MA_RS07565,protein_coding,NC_003552.1,1725544,1726284,-
MA_RS07575,MA1460,"MA1460,MA_1460",MA_RS07575,protein_coding,NC_003552.1,1726936,1727676,+
MA_RS07580,MA1461,"MA1461,MA_1461",MA_RS07580,protein_coding,NC_003552.1,1727679,1727957,+
MA_RS07585,MA1462,"MA1462,MA_1462",MA_RS07585,protein_coding,NC_003552.1,1728281,1728721,-
MA_RS24430,MA_1463,MA_1463,MA_RS24430,protein_coding,NC_003552.1,1728993,1731026,-
MA_RS07595,MA1464,"MA1464,MA_1464",MA_RS07595,protein_coding,NC_003552.1,1731303,1731749,+
MA_RS26685,,,MA_RS26685,protein_coding,NC_003552.1,1732335,1732508,-
MA_RS07605,MA1466,"MA1466,MA_1466",thiI,protein_coding,NC_003552.1,1732985,1734223,+
MA_RS07610,MA1467,"MA1467,MA_1467",MA_RS07610,protein_coding,NC_003552.1,1734676,1734894,-
MA_RS07615,MA1468,"MA1468,MA_1468",MA_RS07615,protein_coding,NC_003552.1,1735223,1735618,-
MA_RS07620,MA1469,"MA1469,MA_1469",MA_RS07620,protein_coding,NC_003552.1,1735960,1736373,-
MA_RS07625,MA1470,"MA1470,MA_1470",MA_RS07625,protein_coding,NC_003552.1,1736370,1739570,-
MA_RS07630,MAt4703,MAt4703,MA_RS07630,tRNA,NC_003552.1,1740455,1740526,-
MA_RS07635,MA1471,"MA1471,MA_1471",MA_RS07635,protein_coding,NC_003552.1,1740590,1740859,-
MA_RS07640,MA1472,"MA1472,MA_1472",MA_RS07640,protein_coding,NC_003552.1,1740952,1741122,-
MA_RS07645,MA1473,"MA1473,MA_1473",MA_RS07645,protein_coding,NC_003552.1,1741311,1742003,-
MA_RS07650,MA1474,"MA1474,MA_1474",MA_RS07650,protein_coding,NC_003552.1,1742135,1743124,-
MA_RS07655,MA1475,"MA1475,MA_1475",MA_RS07655,protein_coding,NC_003552.1,1743243,1744220,-
MA_RS07660,MA1476,"MA1476,MA_1476",MA_RS07660,protein_coding,NC_003552.1,1744592,1744993,+
MA_RS07665,MA1477,"MA1477,MA_1477",grpE,protein_coding,NC_003552.1,1745118,1745747,+
MA_RS07670,MA1478,"MA1478,MA_1478",dnaK,protein_coding,NC_003552.1,1746019,1747872,+
MA_RS07675,MA1479,"MA1479,MA_1479",dnaJ,protein_coding,NC_003552.1,1747983,1749131,+
MA_RS07680,MA1480,"MA1480,MA_1480",trkA,protein_coding,NC_003552.1,1749660,1751006,+
MA_RS07685,MA1481,"MA1481,MA_1481",MA_RS07685,protein_coding,NC_003552.1,1751031,1752461,+
MA_RS07695,MA1482,"MA1482,MA_1482",trkA,protein_coding,NC_003552.1,1753036,1754382,+
MA_RS07700,MA1483,"MA1483,MA_1483",MA_RS07700,protein_coding,NC_003552.1,1754438,1755868,+
MA_RS07705,MA1484,"MA1484,MA_1484",MA_RS07705,protein_coding,NC_003552.1,1755990,1757213,-
MA_RS07710,MA_1485,MA_1485,MA_RS07710,protein_coding,NC_003552.1,1757210,1757431,-
MA_RS07715,MA1486,"MA1486,MA_1486",tes,protein_coding,NC_003552.1,1757992,1759494,-
MA_RS07720,MA1487,"MA1487,MA_1487",MA_RS07720,protein_coding,NC_003552.1,1759596,1760210,-
MA_RS07725,MA1488,"MA1488,MA_1488",cofC,protein_coding,NC_003552.1,1760520,1761146,-
MA_RS07730,MA1489,"MA1489,MA_1489",cofH,protein_coding,NC_003552.1,1761270,1762424,-
MA_RS07735,MA1490,"MA1490,MA_1490",cofH,protein_coding,NC_003552.1,1762472,1763599,-
MA_RS07740,MA1491,"MA1491,MA_1491",cofG,protein_coding,NC_003552.1,1763596,1764621,-
MA_RS07745,MA1492,"MA1492,MA_1492",MA_RS07745,protein_coding,NC_003552.1,1764670,1765947,-
MA_RS07750,MA1493,"MA1493,MA_1493",MA_RS07750,protein_coding,NC_003552.1,1765944,1766105,-
MA_RS07760,MA1495,"MA1495,MA_1495",fpoA,protein_coding,NC_003552.1,1767327,1767716,+
MA_RS07765,MA1496,"MA1496,MA_1496",fpoB,protein_coding,NC_003552.1,1767704,1768258,+
MA_RS07770,MA1497,"MA1497,MA_1497",fpoC,protein_coding,NC_003552.1,1768289,1768765,+
MA_RS07775,MA1498,"MA1498,MA_1498",fpoD,protein_coding,NC_003552.1,1768776,1769900,+
MA_RS07780,MA1499,"MA1499,MA_1499",fpoH,protein_coding,NC_003552.1,1769906,1770943,+
MA_RS07785,MA1500,"MA1500,MA_1500",fpoI,protein_coding,NC_003552.1,1770948,1771358,+
MA_RS29330,MA_1501,MA_1501,MA_RS29330,protein_coding,NC_003552.1,1771355,1771645,+
MA_RS29335,MA_1502,MA_1502,fpoJ,protein_coding,NC_003552.1,1771635,1771886,+
MA_RS07800,MA1503,"MA1503,MA_1503",fpoK,protein_coding,NC_003552.1,1771883,1772191,+
MA_RS07805,MA1504,"MA1504,MA_1504",fpoL,protein_coding,NC_003552.1,1772185,1774203,+
MA_RS07810,MA1505,"MA1505,MA_1505",fpoM,protein_coding,NC_003552.1,1774203,1775690,+
MA_RS07815,MA1506,"MA1506,MA_1506",fpoN,protein_coding,NC_003552.1,1775694,1777163,+
MA_RS07820,MA1507,"MA1507,MA_1507",MA_RS07820,protein_coding,NC_003552.1,1777177,1777539,+
MA_RS24435,MA_1508,MA_1508,MA_RS24435,protein_coding,NC_003552.1,1778369,1780630,+
MA_RS25205,MA_1509,MA_1509,fpoO,protein_coding,NC_003552.1,1780861,1781097,+
MA_RS24440,MA_1510,MA_1510,MA_RS24440,protein_coding,NC_003552.1,1781592,1787873,+
MA_RS07845,MA1511,"MA1511,MA_1511",MA_RS07845,protein_coding,NC_003552.1,1788092,1788514,+
MA_RS25210,,,MA_RS25210,protein_coding,NC_003552.1,1788750,1788923,+
MA_RS07850,MA1512,"MA1512,MA_1512",MA_RS07850,protein_coding,NC_003552.1,1788951,1789391,-
MA_RS07855,MA1513,"MA1513,MA_1513",MA_RS07855,protein_coding,NC_003552.1,1789942,1791657,+
MA_RS07860,MA1514,"MA1514,MA_1514",MA_RS07860,protein_coding,NC_003552.1,1791919,1792152,+
MA_RS07865,MA1515,"MA1515,MA_1515",MA_RS07865,protein_coding,NC_003552.1,1792158,1792550,+
MA_RS24445,MA_1516,MA_1516,MA_RS24445,protein_coding,NC_003552.1,1792822,1794234,-
MA_RS07880,MA1517,"MA1517,MA_1517",MA_RS07880,protein_coding,NC_003552.1,1794367,1796151,+
MA_RS26690,,,MA_RS26690,protein_coding,NC_003552.1,1796656,1796763,-
MA_RS07885,MA1518,"MA1518,MA_1518",MA_RS07885,protein_coding,NC_003552.1,1796765,1798231,-
MA_RS07890,MA1519,"MA1519,MA_1519",MA_RS07890,protein_coding,NC_003552.1,1798744,1800201,+
MA_RS07895,MA1520,"MA1520,MA_1520",MA_RS07895,protein_coding,NC_003552.1,1800293,1800952,-
MA_RS07900,MA1521,"MA1521,MA_1521",rpl7ae,protein_coding,NC_003552.1,1801311,1801673,+
MA_RS07905,MA1522,"MA1522,MA_1522",MA_RS07905,protein_coding,NC_003552.1,1801698,1801919,+
MA_RS07910,MA1523,"MA1523,MA_1523",MA_RS07910,protein_coding,NC_003552.1,1801941,1802129,+
MA_RS07915,MA1524,"MA1524,MA_1524",ndk,protein_coding,NC_003552.1,1802166,1802615,+
MA_RS07920,MA1525,"MA1525,MA_1525",infB,protein_coding,NC_003552.1,1802751,1804526,+
